😀	γελαστό πρόσωπο
🔉	ηχείο μεσαίας έντασης
🔊	ηχείο υψηλή ένταση
📢	μεγάφωνο
📣	μεγάφωνο
📯	ταχυδρομική κόρνα
🔔	κουδούνι
🔕	κουδούνι με κάθετο
🎼	μουσική παρτιτούρα
🎵	μουσική νότα
🎶	Μουσικές νότες
🎙️	μικρόφωνο στούντιο
🎙	μικρόφωνο στούντιο
🎚️	ρυθμιστικό επιπέδου
🎚	ρυθμιστικό επιπέδου
🎛️	πόμολα ελέγχου
🎛	πόμολα ελέγχου
🎤	μικρόφωνο
🎧	ακουστικό
📻	ραδιόφωνο
🎷	σαξόφωνο
🎸	κιθάρα
🎹	μουσικό πληκτρολόγιο
🎺	τρομπέτα
🎻	βιολί
🥁	τύμπανο
📱	κινητό τηλέφωνο
📲	κινητό τηλέφωνο με βέλος
☎️	τηλέφωνο
☎	τηλέφωνο
📞	τηλεφωνικός δέκτης
📟	τηλεειδοποιητής
📠	συσκευή φαξ
🔋	μπαταρία
🔌	ηλεκτρική πρίζα
💻	φορητός υπολογιστής
🖥️	επιτραπέζιος υπολογιστής
🖥	επιτραπέζιος υπολογιστής
🖨️	εκτυπωτής
🖨	εκτυπωτής
⌨️	πληκτρολόγιο
⌨	πληκτρολόγιο
🖱️	ποντίκι υπολογιστή
🖱	ποντίκι υπολογιστή
🖲️	ιχνοσφαίρα
🖲	ιχνοσφαίρα
💽	δίσκο υπολογιστή
💾	δισκέτα
💿	οπτικός δίσκος
📀	DVD
🧮	άβακας
🎥	κινηματογραφική κάμερα
🎞️	καρέ φιλμ
🎞	καρέ φιλμ
📽️	κινηματογραφικός προβολέας
📽	κινηματογραφικός προβολέας
🎬	σανίδα κλακέτας
📺	τηλεόραση
📷	ΦΩΤΟΓΡΑΦΙΚΗ ΜΗΧΑΝΗ
📸	κάμερα με φλας
📹	βίντεο κάμερα
📼	βιντεοκασέτα
🔍	ο μεγεθυντικός φακός έγειρε προς τα αριστερά
🔎	μεγεθυντικός φακός με κλίση δεξιά
🕯️	κερί
🕯	κερί
💡	λάμπα
🔦	φακός
🏮	κόκκινο χάρτινο φανάρι
📔	σημειωματάριο με διακοσμητικό εξώφυλλο
📕	κλειστό βιβλίο
📖	ανοιχτό βιβλίο
📗	πράσινο βιβλίο
📘	μπλε βιβλιο
📙	πορτοκαλί βιβλίο
📚	βιβλία
📓	σημειωματάριο
📒	καθολικό
📃	σελίδα με μπούκλα
📜	πάπυρος
📄	σελίδα στραμμένη προς τα επάνω
📰	εφημερίδα
🗞️	τυλιγμένη εφημερίδα
🗞	τυλιγμένη εφημερίδα
📑	καρτέλες σελιδοδεικτών
🔖	σελιδοδείκτη
🏷️	επιγραφή
🏷	επιγραφή
💰	τσάντα χρημάτων
💴	τραπεζογραμμάτιο γιεν
💵	τραπεζογραμμάτιο δολαρίου
💶	τραπεζογραμμάτιο ευρώ
💷	τραπεζογραμμάτιο λιβρών
💸	χρήματα με φτερά
💳	πιστωτική κάρτα
🧾	παραλαβή
💹	το διάγραμμα αυξάνεται με γεν
💱	ανταλλαγή συναλλάγματος
💲	βαρύ σημάδι δολαρίου
✉️	φάκελος
✉	φάκελος
📧	ΗΛΕΚΤΡΟΝΙΚΗ ΔΙΕΥΘΥΝΣΗ
📨	εισερχόμενος φάκελος
📩	φάκελος με βέλος
📤	δίσκος εξερχομένων
📥	δίσκος εισερχομένων
📦	πακέτο
📫	κλειστό γραμματοκιβώτιο με υψωμένη σημαία
📪	κλειστό γραμματοκιβώτιο με χαμηλωμένη σημαία
📬	ανοιχτό γραμματοκιβώτιο με υψωμένη σημαία
📭	ανοιχτό γραμματοκιβώτιο με χαμηλωμένη σημαία
📮	ταχυδρομική θυρίδα
🗳️	κάλπη με ψηφοδέλτιο
🗳	κάλπη με ψηφοδέλτιο
✏️	μολύβι
✏	μολύβι
✒️	μαύρη μύτη
✒	μαύρη μύτη
🖋️	πένα
🖋	πένα
🖊️	στυλό
🖊	στυλό
🖌️	πινελο ΖΩΓΡΑΦΙΚΗΣ
🖌	πινελο ΖΩΓΡΑΦΙΚΗΣ
🖍️	παστέλ
🖍	παστέλ
📝	σημείωμα
💼	χαρτοφύλακας
📁	φάκελος αρχείων
📂	ανοίξτε το φάκελο αρχείων
🗂️	διαιρέτες ευρετηρίου καρτών
🗂	διαιρέτες ευρετηρίου καρτών
📅	Ημερολόγιο
📆	ημερολόγιο αποκοπής
🗒️	σπειροειδές σημειωματάριο
🗒	σπειροειδές σημειωματάριο
🗓️	σπειροειδές ημερολόγιο
🗓	σπειροειδές ημερολόγιο
📇	δείκτης κάρτας
📈	γράφημα αυξάνεται
📉	γράφημα μειώνεται
📊	ραβδόγραμμα
📋	πρόχειρο
📌	πινέζα
📍	στρογγυλή πινέζα
📎	συνδετήρας
🖇️	συνδεόμενοι συνδετήρες
🖇	συνδεόμενοι συνδετήρες
📏	ευθύς χάρακας
📐	τριγωνικός χάρακας
✂️	ψαλίδι
✂	ψαλίδι
🗃️	κουτί αρχείου καρτών
🗃	κουτί αρχείου καρτών
🗄️	αρχειοθήκη
🗄	αρχειοθήκη
🗑️	καλάθι αχρήστων
🗑	καλάθι αχρήστων
🔒	κλειδωμένο
🔓	ακλείδωτος
🔏	κλειδωμένο με στυλό
🔐	κλειδωμένο με κλειδί
🔑	κλειδί
🗝️	παλιό κλειδί
🗝	παλιό κλειδί
🔨	σφυρί
⛏️	διαλέγω
⛏	διαλέγω
⚒️	σφυρί και διάλεξε
⚒	σφυρί και διάλεξε
🛠️	σφυρί και κλειδί
🛠	σφυρί και κλειδί
🗡️	στιλέτο
🗡	στιλέτο
⚔️	σταυρωμένα ξίφη
⚔	σταυρωμένα ξίφη
🔫	πιστόλι
🏹	τόξο και βέλος
🛡️	ασπίδα
🛡	ασπίδα
🔧	γαλλικο ΚΛΕΙΔΙ
🔩	παξιμάδι και βιδα
⚙️	μηχανισμός
⚙	μηχανισμός
🗜️	σφιγκτήρας
🗜	σφιγκτήρας
⚖️	ζυγαριά ισορροπίας
⚖	ζυγαριά ισορροπίας
🔗	Σύνδεσμος
⛓️	αλυσίδες
⛓	αλυσίδες
🧰	εργαλειοθήκη
🧲	μαγνήτης
⚗️	αποσταλακτήριο
⚗	αποσταλακτήριο
🧪	δοκιμαστικός σωλήνας
🧫	πιάτο πέτρι
🧬	dna
🔬	μικροσκόπιο
🔭	τηλεσκόπιο
📡	δορυφορική κεραία
💉	σύριγγα
💊	χάπι
🚪	θύρα
🛏️	κρεβάτι
🛏	κρεβάτι
🛋️	καναπές και λάμπα
🛋	καναπέ και λάμπα
🚽	τουαλέτα
🚿	ντους
🛁	μπανιέρα
🧴	μπουκάλι λοσιόν
🧷	παραμάνα
🧹	σκούπα
🧺	καλάθι
🧻	ρολό χαρτιού
🧼	σαπούνι
🧽	σφουγγάρι
🧯	πυροσβεστήρας
🛒	καλάθι αγορών
🚬	τσιγάρο
⚰️	φέρετρο
⚰	φέρετρο
⚱️	νεκρική λάρνακα
⚱	νεκρική λάρνακα
🗿	μοάι
🏧	Πινακίδα ΑΤΜ
🚮	σκουπίδια στο σημάδι του κάδου
🚰	πόσιμο νερό
♿	σύμβολο αναπηρικής καρέκλας
🚹	τουαλέτα ανδρών
🚺	γυναικείο δωμάτιο
🚻	τουαλέτα
🚼	σύμβολο του μωρού
🚾	αποχωρητήριο
🛂	έλεγχος διαβατηρίων
🛃	ΗΘΗ και εθιμα
🛄	παραλαβή αποσκευών
🛅	αριστερές αποσκευές
⚠️	προειδοποίηση
⚠	προειδοποίηση
🚸	διασχίζουν παιδιά
⛔	απαγορεύεται η είσοδος
🚫	απαγορευμένος
🚳	όχι ποδήλατα
🚭	Απαγορεύεται το κάπνισμα
🚯	Όχι σκουπίδια
🚱	μη πόσιμο νερό
🚷	όχι πεζοί
📵	όχι κινητά τηλέφωνα
🔞	κανένας κάτω των δεκαοκτώ
☢️	ραδιενεργός
☢	ραδιενεργός
☣️	βιολογικού κινδύνου
☣	βιολογικού κινδύνου
⬆️	επάνω βέλος
⬆	επάνω βέλος
↗️	επάνω δεξιά βέλος
↗	επάνω δεξιά βέλος
➡️	δεξί βέλος
➡	δεξί βέλος
↘️	κάτω δεξιά βέλος
↘	κάτω δεξιά βέλος
⬇️	κάτω βελάκι
⬇	κάτω βελάκι
↙️	κάτω-αριστερό βέλος
↙	κάτω-αριστερό βέλος
⬅️	αριστερό βέλος
⬅	αριστερό βέλος
↖️	επάνω αριστερό βέλος
↖	επάνω αριστερό βέλος
↕️	πάνω-κάτω βέλος
↕	πάνω-κάτω βέλος
↔️	αριστερό-δεξιό βέλος
↔	αριστερό-δεξιό βέλος
↩️	δεξί βέλος που καμπυλώνεται αριστερά
↩	δεξί βέλος που καμπυλώνεται αριστερά
↪️	αριστερό βέλος καμπυλωτό δεξιά
↪	αριστερό βέλος καμπυλωτό δεξιά
⤴️	δεξί βέλος που καμπυλώνεται προς τα πάνω
⤴	δεξί βέλος που καμπυλώνεται προς τα πάνω
⤵️	δεξί βέλος που καμπυλώνεται προς τα κάτω
⤵	δεξί βέλος που καμπυλώνεται προς τα κάτω
🔃	δεξιόστροφα κάθετα βέλη
🔄	κουμπί αριστερόστροφα βέλη
🔙	ΠΙΣΩ βέλος
🔚	βέλος ΤΕΛΟΣ
🔛	ON βέλος
🔜	ΣΥΝΤΟΜΑ βέλος
🔝	ΚΟΡΥΦΑΙΟ βέλος
🛐	τόπος λατρείας
⚛️	σύμβολο ατόμου
⚛	σύμβολο ατόμου
🕉️	om
🕉	om
✡️	αστέρι του Δαβίδ
✡	αστέρι του Δαβίδ
☸️	τροχός του ντάρμα
☸	τροχός του ντάρμα
☯️	yin yang
☯	yin yang
✝️	λατινικός σταυρός
✝	λατινικός σταυρός
☦️	ορθόδοξος σταυρός
☦	ορθόδοξος σταυρός
☪️	αστέρι και ημισέληνος
☪	αστέρι και ημισέληνος
☮️	σύμβολο ειρήνης
☮	σύμβολο ειρήνης
🕎	μενόρα
🔯	διακεκομμένο εξάκτινο αστέρι
♈	Κριός
♉	Ταύρος
♊	Δίδυμοι
♋	Καρκίνος
♌	Λέων
♍	Παρθένος
♎	ΖΥΓΟΣ
♏	Σκορπιός
♐	Τοξότης
♑	Αιγόκερως
♒	Υδροχόος
♓	Ιχθύες
⛎	Οφιούχου
🔀	κουμπί τυχαίας αναπαραγωγής κομματιών
🔁	κουμπί επανάληψης
🔂	επανάληψη ενός κουμπιού
▶️	κουμπί αναπαραγωγής
▶	κουμπί αναπαραγωγής
⏩	κουμπί γρήγορης προώθησης
⏭️	κουμπί επόμενου κομματιού
⏭	κουμπί επόμενου κομματιού
⏯️	κουμπί αναπαραγωγής ή παύσης
⏯	κουμπί αναπαραγωγής ή παύσης
◀️	κουμπί όπισθεν
◀	κουμπί όπισθεν
⏪	κουμπί γρήγορης αναστροφής
⏮️	κουμπί τελευταίου κομματιού
⏮	κουμπί τελευταίου κομματιού
🔼	κουμπί προς τα πάνω
⏫	κουμπί γρήγορης αύξησης
🔽	κουμπί προς τα κάτω
⏬	κουμπί γρήγορης μείωσης
⏸️	κουμπί παύσης
⏸	κουμπί παύσης
⏹️	κουμπί διακοπής
⏹	κουμπί διακοπής
⏺️	κουμπί εγγραφής
⏺	κουμπί εγγραφής
⏏️	κουμπί εξαγωγής
⏏	κουμπί εξαγωγής
🎦	κινηματογράφος
🔅	κουμπί φωτισμού
🔆	φωτεινό κουμπί
📶	μπάρες κεραίας
📳	λειτουργία δόνησης
📴	κινητό τηλέφωνο απενεργοποιημένο
♀️	γυναικείο σημάδι
♀	γυναικείο σημάδι
♂️	αρσενικό ζώδιο
♂	αρσενικό ζώδιο
⚕️	ιατρικό σύμβολο
⚕	ιατρικό σύμβολο
♾️	άπειρο
♾	άπειρο
♻️	σύμβολο ανακύκλωσης
♻	σύμβολο ανακύκλωσης
⚜️	fleur-de-lis
⚜	fleur-de-lis
🔱	έμβλημα τρίαινας
📛	σήμα ονόματος
🔰	Ιαπωνικό σύμβολο για αρχάριους
⭕	βαρύς μεγάλος κύκλος
✅	λευκό βαρύ σημάδι επιλογής
☑️	κάλπη με επιταγή
☑	κάλπη με επιταγή
✔️	βαρύ σημάδι επιλογής
✔	βαρύ σημάδι επιλογής
✖️	βαρύς πολλαπλασιασμός x
✖	βαρύς πολλαπλασιασμός x
❌	σταυρό σημάδι
❎	κουμπί σταυρού
➕	βαρύ σύμβολο συν
➖	βαρύ σημάδι μείον
➗	βαρύ σημάδι διαίρεσης
➰	σγουρό βρόχο
➿	διπλό σγουρό βρόχο
〽️	σημάδι εναλλαγής μέρους
〽	σημάδι εναλλαγής μέρους
✳️	οκτάκτινος αστερίσκος
✳	οκτάκτινος αστερίσκος
✴️	οκτάκτινο αστέρι
✴	οκτάκτινο αστέρι
❇️	λάμπω
❇	λάμπω
‼️	διπλό θαυμαστικό
‼	διπλό θαυμαστικό
⁉️	θαυμαστικό ερωτηματικό
⁉	θαυμαστικό ερωτηματικό
❓	ερωτηματικό
❔	λευκό ερωτηματικό
❕	λευκό θαυμαστικό
❗	θαυμαστικό
〰️	κυματιστή παύλα
〰	κυματιστή παύλα
©️	πνευματική ιδιοκτησία
©	πνευματική ιδιοκτησία
®️	εγγεγραμμένος
®	εγγεγραμμένος
™️	εμπορικό σήμα
™	εμπορικό σήμα
#️⃣	πληκτρολόγιο: #
#⃣	πληκτρολόγιο: #
*️⃣	πληκτρολόγιο: *
*⃣	πληκτρολόγιο: *
0️⃣	πληκτρολόγιο: 0
0⃣	πληκτρολόγιο: 0
1️⃣	πληκτρολόγιο: 1
1⃣	πληκτρολόγιο: 1
2️⃣	πληκτρολόγιο: 2
2⃣	πληκτρολόγιο: 2
3️⃣	πληκτρολόγιο: 3
