😀	হাসিমুখ
🎛️	নিয়ন্ত্রণ knobs
🎛	নিয়ন্ত্রণ knobs
🎤	মাইক্রোফোন
🎧	হেডফোন
📻	রেডিও
🎷	স্যাক্সোফোন
🎸	গিটার
🎹	বাদ্যযন্ত্র কীবোর্ড
🎺	ট্রাম্পেট
🎻	বেহালা
🥁	ড্রাম
📱	মোবাইল ফোন
📲	তীর সহ মোবাইল ফোন
☎️	টেলিফোন
☎	টেলিফোন
📞	টেলিফোন রিসিভার
📟	পেজার
📠	ফ্যাক্স মেশিন
🔋	ব্যাটারি
🔌	বৈদ্যুতিক চাবি
💻	ল্যাপটপ কম্পিউটার
🖥️	ডেস্কটপ কম্পিউটার
🖥	ডেস্কটপ কম্পিউটার
🖨️	প্রিন্টার
🖨	প্রিন্টার
⌨️	কীবোর্ড
⌨	কীবোর্ড
🖱️	কম্পিউটার মাউস
🖱	কম্পিউটার মাউস
🖲️	ট্র্যাকবল
🖲	ট্র্যাকবল
💽	কম্পিউটার ডিস্ক
💾	ফ্লপি ডিস্ক
💿	অপটিক্যাল ডিস্ক
📀	ডিভিডি
🧮	অ্যাবাকাস
🎥	মুভি ক্যামেরা
🎞️	ফিল্ম ফ্রেম
🎞	ফিল্ম ফ্রেম
📽️	ফিল্ম প্রজেক্টর
📽	ফিল্ম প্রজেক্টর
🎬	ক্ল্যাপার বোর্ড
📺	টেলিভিশন
📷	ক্যামেরা
📸	ফ্ল্যাশ সহ ক্যামেরা
📹	ভিডিও ক্যামেরা
📼	ভিডিও ক্যাসেট
🔍	ম্যাগনিফাইং গ্লাস বাম দিকে কাত
🔎	ম্যাগনিফাইং গ্লাস ডানদিকে কাত
🕯️	মোমবাতি
🕯	মোমবাতি
💡	আলো বাল্ব
🔦	টর্চলাইট
🏮	লাল কাগজের লণ্ঠন
📔	আলংকারিক কভার সহ নোটবুক
📕	বন্ধ বই
📖	খোলা বই
📗	সবুজ বই
📘	নীল বই
📙	কমলা বই
📚	বই
📓	নোটবই
📒	খাতা
📃	কার্ল সহ পৃষ্ঠা
📜	স্ক্রল
📄	পৃষ্ঠা মুখোমুখি
📰	সংবাদপত্র
🗞️	রোলড-আপ সংবাদপত্র
🗞	রোলড-আপ সংবাদপত্র
📑	বুকমার্ক ট্যাব
🔖	বুকমার্ক
🏷️	লেবেল
🏷	লেবেল
💰	টাকার থলে
💴	ইয়েন নোট
💵	ডলারের নোট
💶	ইউরো ব্যাঙ্কনোট
💷	পাউন্ডের নোট
💸	উইংস সঙ্গে টাকা
💳	ক্রেডিট কার্ড
🧾	রসিদ
💹	চার্ট ইয়েনের সাথে বাড়ছে
💱	মুদ্রা বিনিময়
💲	ভারী ডলারের চিহ্ন
✉️	খাম
✉	খাম
📧	ই-মেইল
📨	ইনকামিং খাম
📩	তীর সহ খাম
📤	আউটবক্স ট্রে
📥	ইনবক্স ট্রে
📦	প্যাকেজ
📫	উত্থাপিত পতাকা সহ বন্ধ ডাকবাক্স
📪	নিচু পতাকা সহ বন্ধ মেইলবক্স
📬	উত্থাপিত পতাকা সঙ্গে খোলা মেলবক্স
📭	নিচু পতাকা সহ খোলা মেলবক্স
📮	ডাক বাক্স
🗳️	ব্যালট সহ ব্যালট বাক্স
🗳	ব্যালট সহ ব্যালট বাক্স
✏️	পেন্সিল
✏	পেন্সিল
✒️	কালো নিব
✒	কালো নিব
🖋️	ঝর্ণা কলম
🖋	ঝর্ণা কলম
🖊️	কলম
🖊	কলম
🖌️	পেইন্টব্রাশ
🖌	পেইন্টব্রাশ
🖍️	ক্রেয়ন
🖍	ক্রেয়ন
📝	মেমো
💼	ব্রিফকেস
📁	ফাইল ফোল্ডার
📂	ফাইল ফোল্ডার খুলুন
🗂️	কার্ড সূচক বিভাজক
🗂	কার্ড সূচক বিভাজক
📅	ক্যালেন্ডার
📆	ছিঁড়ে ফেলা ক্যালেন্ডার
🗒️	সর্পিল নোটপ্যাড
🗒	সর্পিল নোটপ্যাড
🗓️	সর্পিল ক্যালেন্ডার
🗓	সর্পিল ক্যালেন্ডার
📇	কার্ড সূচি
📈	চার্ট বাড়ছে
📉	চার্ট কমছে
📊	বার চার্ট
📋	ক্লিপবোর্ড
📌	পুশপিন
📍	বৃত্তাকার পুশপিন
📎	পেপার ক্লিপ
🖇️	সংযুক্ত পেপারক্লিপ
🖇	সংযুক্ত পেপারক্লিপ
📏	সোজা শাসক
📐	ত্রিভুজাকার শাসক
✂️	কাঁচি
✂	কাঁচি
🗃️	কার্ড ফাইল বক্স
🗃	কার্ড ফাইল বক্স
🗄️	ফাইল মন্ত্রিসভা
🗄	ফাইল মন্ত্রিসভা
🗑️	বর্জ্য ঝুড়ি
🗑	বর্জ্য ঝুড়ি
🔒	তালাবদ্ধ
🔓	আনলক
🔏	কলম দিয়ে তালা দেওয়া
🔐	চাবি দিয়ে তালা দেওয়া
🔑	চাবি
🗝️	পুরানো চাবি
🗝	পুরানো চাবি
🔨	হাতুড়ি
⛏️	বাছাই
⛏	বাছাই
⚒️	হাতুড়ি এবং বাছাই
⚒	হাতুড়ি এবং বাছাই
🛠️	হাতুড়ি এবং রেঞ্চ
🛠	হাতুড়ি এবং রেঞ্চ
🗡️	ছোরা
🗡	ছোরা
⚔️	তলোয়ার অতিক্রম
⚔	তলোয়ার অতিক্রম
🔫	পিস্তল
🏹	তীর - ধনুক
🛡️	ঢাল
🛡	ঢাল
🔧	রেঞ্চ
🔩	বাদাম এবং বল্টু
⚙️	গিয়ার
⚙	গিয়ার
🗜️	বাতা
🗜	বাতা
⚖️	ভারসাম্য স্কেল
⚖	ভারসাম্য স্কেল
🔗	লিঙ্ক
⛓️	চেইন
⛓	চেইন
🧰	টুলবক্স
🧲	চুম্বক
⚗️	অ্যালেম্বিক
⚗	অ্যালেম্বিক
🧪	টেস্ট টিউব
🧫	পেট্রি ডিশ
🧬	ডিএনএ
🔬	মাইক্রোস্কোপ
🔭	টেলিস্কোপ
📡	স্যাটেলাইট অ্যান্টেনা
💉	সিরিঞ্জ
💊	বড়ি
🚪	দরজা
🛏️	বিছানা
🛏	বিছানা
🛋️	পালঙ্ক এবং বাতি
🛋	পালঙ্ক এবং বাতি
🚽	টয়লেট
🚿	ঝরনা
🛁	বাথটাব
🧴	লোশন বোতল
🧷	নিরাপত্তা পিন
🧹	ঝাড়ু
🧺	ঝুড়ি
🧻	কাগজের রোল
🧼	সাবান
🧽	স্পঞ্জ
🧯	অগ্নি নির্বাপক
🛒	বাজারের ব্যাগ
🚬	সিগারেট
⚰️	শবাধার
⚰	শবাধার
⚱️	অন্ত্যেষ্টিক্রিয়া কলস
⚱	অন্ত্যেষ্টিক্রিয়া কলস
🗿	moai
🏧	এটিএম সাইন
🚮	বিন সাইন ইন লিটার
🚰	পানযোগ্য পানি
♿	হুইলচেয়ার প্রতীক
🚹	পুরুষদের ঘর
🚺	মহিলাদের ঘর
🚻	পায়খানা
🚼	শিশুর প্রতীক
🚾	জল পায়খানা
🛂	পাসপোর্ট নিয়ন্ত্রণ
🛃	কাস্টমস
🛄	লাগেজ দাবি
🛅	বাম লটবহর
⚠️	সতর্কতা
⚠	সতর্কতা
🚸	শিশুরা পার হচ্ছে
⛔	প্রবেশ নিষেধ
🚫	নিষিদ্ধ
🚳	সাইকেল নেই
🚭	ধূমপান নিষেধ
🚯	কোন আবর্জনা
🚱	অপানীয় জল
🚷	কোন পথচারী নেই
📵	মোবাইল ফোন নেই
🔞	আঠারো বছরের নিচে কেউ নেই
☢️	তেজস্ক্রিয়
☢	তেজস্ক্রিয়
☣️	জৈব বিপদ
☣	জৈব বিপদ
⬆️	উপরের তীর
⬆	উপরের তীর
↗️	উপরে-ডান তীর
↗	উপরে-ডান তীর
➡️	সঠিক তীর
➡	সঠিক তীর
↘️	নিচে-ডান তীর
↘	নিচে-ডান তীর
⬇️	নিম্নমুখী তীর
⬇	নিম্নমুখী তীর
↙️	নিচে-বাম তীর
↙	নিচে-বাম তীর
⬅️	বাম তীর
⬅	বাম তীর
↖️	উপরের-বাম তীর
↖	উপরের-বাম তীর
↕️	আপ-ডাউন তীর
↕	আপ-ডাউন তীর
↔️	বাম-ডান তীর
↔	বাম-ডান তীর
↩️	ডান তীর বাঁকানো
↩	ডান তীর বাঁকানো
↪️	বাম তীর ডানদিকে বাঁকা
↪	বাম তীর ডানদিকে বাঁকা
⤴️	ডান তীর বাঁকা
⤴	ডান তীর বাঁকা
⤵️	ডান তীর নিচে বাঁকা
⤵	ডান তীর নিচে বাঁকা
🔃	ঘড়ির কাঁটার দিকে উল্লম্ব তীর
🔄	ঘড়ির কাঁটার বিপরীত দিকে তীর বোতাম
🔙	পিছনের তীর
🔚	শেষ তীর
🔛	অন তীর
🔜	শীঘ্রই তীর
🔝	শীর্ষ তীর
🛐	উপাসনা স্থান
⚛️	পরমাণুর প্রতীক
⚛	পরমাণুর প্রতীক
🕉️	ওম
🕉	ওম
✡️	ডেভিডের নক্ষত্র
✡	ডেভিডের নক্ষত্র
☸️	ধর্মের চাকা
☸	ধর্মের চাকা
☯️	ইয়িন ইয়াং
☯	ইয়িন ইয়াং
✝️	ল্যাটিন ক্রস
✝	ল্যাটিন ক্রস
☦️	অর্থোডক্স ক্রস
☦	অর্থোডক্স ক্রস
☪️	তারা এবং ক্রিসেন্ট
☪	তারা এবং ক্রিসেন্ট
☮️	শান্তি প্রতীক
☮	শান্তি প্রতীক
🕎	মেনোরাহ
🔯	বিন্দুযুক্ত ছয়-পয়েন্টেড তারকা
♈	মেষ রাশি
♉	বৃষ
♊	মিথুনরাশি
♋	ক্যান্সার
♌	লিও
♍	কুমারী
♎	তুলা রাশি
♏	বৃশ্চিক
♐	ধনু
♑	মকর রাশি
♒	কুম্ভ
♓	মীন
⛎	ওফিউকাস
🔀	শাফেল ট্র্যাক বোতাম
🔁	পুনরাবৃত্তি বোতাম
🔂	একক বোতাম পুনরাবৃত্তি করুন
