😀	ଚିତ୍କାର କରୁଥିବା ଚେହେରା |
📞	ଟେଲିଫୋନ୍ ରସିଭର୍ |
📟	ପେଜର୍
📠	ଫ୍ୟାକ୍ସ ମେସିନ୍ |
🔋	ବ୍ୟାଟେରୀ
🔌	ଇଲେକ୍ଟ୍ରିକ୍ ପ୍ଲଗ୍ |
💻	ଲାପଟପ୍ କମ୍ପ୍ୟୁଟର
🖥️	ଡେସ୍କଟପ୍ କମ୍ପ୍ୟୁଟର
🖥	ଡେସ୍କଟପ୍ କମ୍ପ୍ୟୁଟର
🖨️	ପ୍ରିଣ୍ଟର୍
🖨	ପ୍ରିଣ୍ଟର୍
⌨️	କୀବୋର୍ଡ୍
⌨	କୀବୋର୍ଡ୍
🖱️	କମ୍ପ୍ୟୁଟର ମାଉସ୍
🖱	କମ୍ପ୍ୟୁଟର ମାଉସ୍
🖲️	ଟ୍ରାକବଲ୍ |
🖲	ଟ୍ରାକବଲ୍ |
💽	କମ୍ପ୍ୟୁଟର ଡିସ୍କ
💾	ଫ୍ଲପି ଡିସ୍କ |
💿	ଅପ୍ଟିକାଲ୍ ଡିସ୍କ |
📀	ଡିଭିଡି
🧮	ଆବାକସ୍ |
🎥	ଚଳଚ୍ଚିତ୍ର କ୍ୟାମେରା
🎞️	ଚଳଚ୍ଚିତ୍ର ଫ୍ରେମ୍
🎞	ଚଳଚ୍ଚିତ୍ର ଫ୍ରେମ୍
📽️	ଚଳଚ୍ଚିତ୍ର ପ୍ରୋଜେକ୍ଟର୍
📽	ଚଳଚ୍ଚିତ୍ର ପ୍ରୋଜେକ୍ଟର୍
🎬	କ୍ଲାପର୍ ବୋର୍ଡ |
📺	ଟେଲିଭିଜନ |
📷	କ୍ୟାମେରା
📸	ଫ୍ଲାସ୍ ସହିତ କ୍ୟାମେରା |
📹	ଭିଡିଓ କ୍ୟାମେରା |
📼	ଭିଡିଓକ୍ୟାସେଟ୍ |
🔍	ବାମକୁ ଟାଣୁଥିବା ଗ୍ଲାସ୍
🔎	ବଡ଼ ଆକାରର ଗ୍ଲାସ୍
🕯️	ମହମବତୀ |
🕯	ମହମବତୀ |
💡	ବିଜୁଳି ବତୀ
🔦	ଫ୍ଲାସ୍ ଲାଇଟ୍
🏮	ନାଲି କାଗଜ ଲଣ୍ଠନ |
📔	ସାଜସଜ୍ଜା କଭର ସହିତ ନୋଟବୁକ୍ |
📕	ବନ୍ଦ ପୁସ୍ତକ
📖	ଖୋଲା ପୁସ୍ତକ
📗	ସବୁଜ ପୁସ୍ତକ
📘	ନୀଳ ପୁସ୍ତକ
📙	କମଳା ପୁସ୍ତକ |
📚	ପୁସ୍ତକ
📓	ନୋଟବୁକ୍ |
📒	ଲିଜର୍
📃	କର୍ଲ ସହିତ ପୃଷ୍ଠା |
📜	ସ୍କ୍ରୋଲ୍ କର |
📄	ପୃଷ୍ଠା ମୁହାଁମୁହିଁ |
📰	ଖବରକାଗଜ
🗞️	ଗଡ଼ାଯାଇଥିବା ଖବରକାଗଜ |
🗞	ଗଡ଼ାଯାଇଥିବା ଖବରକାଗଜ |
📑	ବୁକମାର୍କ ଟ୍ୟାବଗୁଡ଼ିକ |
🔖	ବୁକମାର୍କ
🏷️	ଲେବଲ୍
🏷	ଲେବଲ୍
💰	ଟଙ୍କା ବ୍ୟାଗ
💴	ୟେନ୍ ନୋଟ୍ |
💵	ଡଲାର୍ ନୋଟ୍ |
💶	ୟୁରୋ ବ୍ୟାଙ୍କ୍ ନୋଟ୍ |
💷	ପାଉଣ୍ଡ ନୋଟ୍ |
💸	ଡେଣା ସହିତ ଟଙ୍କା |
💳	କ୍ରେଡିଟ୍ କାର୍ଡ଼
🧾	ରସିଦ
💹	ୟେନ୍ ସହିତ ଚାର୍ଟ ବ increasing ୁଛି |
💱	ମୁଦ୍ରା ବିନିମୟ
💲	ଭାରୀ ଡଲାର ଚିହ୍ନ |
✉️	ଲିଭୋପା
✉	ଲିଭୋପା
📧	ଇ-ମେଲ୍ |
📨	ଆସୁଥିବା ଲିଭୋପା
📩	ତୀର ସହିତ ଲିଭୋପା
📤	ଆଉଟବକ୍ସ ଟ୍ରେ
📥	ଇନବକ୍ସ ଟ୍ରେ
📦	ପ୍ୟାକେଜ୍
📫	ଉଠାଯାଇଥିବା ପତାକା ସହିତ ବନ୍ଦ ମେଲବାକ୍ସ |
📪	ନିମ୍ନ ପତାକା ସହିତ ବନ୍ଦ ମେଲବାକ୍ସ |
📬	ଉଠାଯାଇଥିବା ପତାକା ସହିତ ମେଲବାକ୍ସ ଖୋଲ |
📭	ନିମ୍ନ ପତାକା ସହିତ ମେଲବାକ୍ସ ଖୋଲ |
📮	ପୋଷ୍ଟବକ୍ସ |
🗳️	ବାଲାଟ୍ ସହିତ ବାଲାଟ୍ ବାକ୍ସ |
🗳	ବାଲାଟ୍ ସହିତ ବାଲାଟ୍ ବାକ୍ସ |
✏️	ପେନ୍ସିଲ
✏	ପେନ୍ସିଲ
✒️	କଳା ନିବ୍
✒	କଳା ନିବ୍
🖋️	ount ରଣା କଲମ
🖋	ount ରଣା କଲମ
🖊️	କଲମ
🖊	କଲମ
🖌️	ପେଣ୍ଟବ୍ରଶ୍ |
🖌	ପେଣ୍ଟବ୍ରଶ୍ |
🖍️	କ୍ରାୟନ୍
🖍	କ୍ରାୟନ୍ |
📝	ମେମୋ
💼	ସଂକ୍ଷିପ୍ତ ସ୍ଥାନ
📁	ଫାଇଲ୍ ଫୋଲ୍ଡର୍
📂	ଫାଇଲ୍ ଫୋଲ୍ଡର୍ ଖୋଲ |
🗂️	କାର୍ଡ ଇଣ୍ଡେକ୍ସ ଡିଭାଇଡର୍ସ |
🗂	କାର୍ଡ ଇଣ୍ଡେକ୍ସ ଡିଭାଇଡର୍ସ |
📅	କ୍ୟାଲେଣ୍ଡର
📆	ଲୁହ ବନ୍ଦ କ୍ୟାଲେଣ୍ଡର |
🗒️	ସ୍ପିରାଲ୍ ନୋଟପ୍ୟାଡ୍ |
🗒	ସ୍ପିରାଲ୍ ନୋଟପ୍ୟାଡ୍ |
🗓️	ସ୍ପିରାଲ୍ କ୍ୟାଲେଣ୍ଡର |
🗓	ସ୍ପିରାଲ୍ କ୍ୟାଲେଣ୍ଡର |
📇	କାର୍ଡ ଇଣ୍ଡେକ୍ସ
📈	ଚାର୍ଟ ବ increasing ୁଛି |
📉	ଚାର୍ଟ ହ୍ରାସ ହେଉଛି |
📊	ବାର୍ ଚାର୍ଟ |
📋	କ୍ଲିପବୋର୍ଡ |
📌	ପୁଷ୍ପିନ
📍	ଗୋଲାକାର ପୁଷ୍ପିନ |
📎	କାଗଜ କ୍ଲିପ୍
🖇️	ଲିଙ୍କ୍ ହୋଇଥିବା ପେପରଲିପ୍ସ |
🖇	ଲିଙ୍କ୍ ହୋଇଥିବା ପେପରଲିପ୍ସ |
📏	ସିଧା ଶାସକ |
📐	ତ୍ରିକୋଣୀୟ ଶାସକ |
✂️	କଞ୍ଚା
✂	କଞ୍ଚା
🗃️	କାର୍ଡ ଫାଇଲ୍ ବାକ୍ସ
🗃	କାର୍ଡ ଫାଇଲ୍ ବାକ୍ସ
🗄️	ଫାଇଲ କ୍ୟାବିନେଟ୍
🗄	ଫାଇଲ କ୍ୟାବିନେଟ୍
🗑️	ଆବର୍ଜନା ପାତ୍ର
🗑	ଆବର୍ଜନା ପାତ୍ର
🔒	ତାଲା ପଡିଛି |
🔓	ଅନଲକ୍ ହୋଇଛି |
🔏	କଲମ ସହିତ ତାଲା |
🔐	ଚାବି ସହିତ ତାଲା ପଡିଛି |
🔑	ଚାବି
🗝️	ପୁରୁଣା ଚାବି |
🗝	ପୁରୁଣା ଚାବି |
🔨	ହାତୁଡ଼ି
⛏️	ବାଛ
⛏	ବାଛ
⚒️	ହାତୁଡ଼ି ଏବଂ ବାଛ |
⚒	ହାତୁଡ଼ି ଏବଂ ବାଛ |
🛠️	ହାତୁଡ଼ି ଏବଂ ରେଞ୍ଚ |
🛠	ହାତୁଡ଼ି ଏବଂ ରେଞ୍ଚ |
🗡️	ଖଣ୍ଡା
🗡	ଖଣ୍ଡା
⚔️	ଖଣ୍ଡା
⚔	ଖଣ୍ଡା
🔫	ପିସ୍ତଲ
🏹	ଧନୁ ଏବଂ ତୀର
🛡️	ield ାଲ
🛡	ield ାଲ
🔧	ରେଞ୍ଚ
🔩	ବାଦାମ ଏବଂ ବୋଲ୍ଟ |
⚙️	ଉପକରଣ
⚙	ଉପକରଣ
🗜️	କ୍ଲମ୍ପ
🗜	କ୍ଲମ୍ପ
⚖️	ସନ୍ତୁଳନ ସ୍କେଲ
⚖	ସନ୍ତୁଳନ ସ୍କେଲ
🔗	ଲିଙ୍କ୍
⛓️	ଶିକୁଳି
⛓	ଶିକୁଳି
🧰	ଟୁଲ୍ ବକ୍ସ |
🧲	ଚୁମ୍ବକ
⚗️	ଆଲେମ୍ବିକ୍ |
⚗	ଆଲେମ୍ବିକ୍ |
🧪	ପରୀକ୍ଷା ନଳୀ
🧫	ପେଟ୍ରି ଡିସ୍ |
🧬	dna
🔬	ମାଇକ୍ରୋସ୍କୋପ୍ |
🔭	ଦୂରବୀକ୍ଷଣ ଯନ୍ତ୍ର
📡	ଉପଗ୍ରହ ଆଣ୍ଟେନା |
💉	ସିରିଞ୍ଜ
💊	ବଟିକା
🚪	ଦ୍ୱାର
🛏️	ଶଯ୍ୟା
🛏	ଶଯ୍ୟା
🛋️	ବିଛଣା ଏବଂ ଦୀପ
🛋	ବିଛଣା ଏବଂ ଦୀପ
🚽	ଶୌଚାଳୟ
🚿	ସାୱାର
🛁	ବାଥ୍ ଟବ୍ |
🧴	ଲୋସନ ବୋତଲ |
🧷	ସେଫ୍ଟି ପିନ୍
🧹	ବର
🧺	ଟୋକେଇ |
🧻	କାଗଜ ରୋଲ
🧼	ସାବୁନ୍
🧽	ସ୍ପଞ୍ଜ
🧯	ଅଗ୍ନି ନିର୍ବାପକ
🛒	ସପିଂଗ କାର୍ଟ୍
🚬	ସିଗାରେଟ୍
⚰️	କଫିନ୍
⚰	କଫିନ୍
⚱️	ଅନ୍ତିମ ସଂସ୍କାର
⚱	ଅନ୍ତିମ ସଂସ୍କାର
🗿	moai
🏧	ଏଟିଏମ୍ ଚିହ୍ନ |
🚮	ବିନ୍ ଚିହ୍ନରେ ଲିଟର |
🚰	ପାନୀୟ ଜଳ
♿	ହ୍ୱିଲ୍ ଚେୟାର ପ୍ରତୀକ |
🚹	ପୁରୁଷ କୋଠରୀ |
🚺	ମହିଳା କୋଠରୀ |
🚻	ଶ rest ଚାଳୟ
🚼	ଶିଶୁ ପ୍ରତୀକ |
🚾	ପାଣି କୋଠରୀ
🛂	ପାସପୋର୍ଟ ନିୟନ୍ତ୍ରଣ
🛃	ପ୍ରଥା
🛄	ସାମଗ୍ରୀ ଦାବି
🛅	ବାମ ସାମଗ୍ରୀ
⚠️	ଚେତାବନୀ
⚠	ଚେତାବନୀ
🚸	ପିଲାମାନେ ଅତିକ୍ରମ କରୁଛନ୍ତି |
⛔	କ entry ଣସି ପ୍ରବେଶ ନାହିଁ |
🚫	ନିଷେଧ |
🚳	ସାଇକେଲ ନାହିଁ
🚭	ଧୂମପାନ ନାହିଁ
🚯	କ lit ଣସି ଲିଟର ନାହିଁ |
🚱	ପାନୀୟ ଜଳ
🚷	କ ped ଣସି ପଥଚାରୀ ନାହାଁନ୍ତି |
📵	କ mobile ଣସି ମୋବାଇଲ୍ ଫୋନ୍ ନାହିଁ |
🔞	ଅଠର ବର୍ଷରୁ କମ୍
☢️	ରେଡିଓଆକ୍ଟିଭ୍ |
☢	ରେଡିଓଆକ୍ଟିଭ୍ |
☣️	ବାୟୋହାଜାର୍ଡ |
☣	ବାୟୋହାଜାର୍ଡ |
⬆️	ଉପର ତୀର
⬆	ଉପର ତୀର
↗️	ଉପର ଡାହାଣ ତୀର |
↗	ଉପର ଡାହାଣ ତୀର |
➡️	ଡାହାଣ ତୀର
➡	ଡାହାଣ ତୀର
↘️	ତଳ-ଡାହାଣ ତୀର |
↘	ତଳ-ଡାହାଣ ତୀର |
⬇️	ତଳ ତୀର
⬇	ତଳ ତୀର
↙️	ତଳ-ବାମ ତୀର |
↙	ତଳ-ବାମ ତୀର |
⬅️	ବାମ ତୀର
⬅	ବାମ ତୀର
↖️	ଉପର ବାମ ତୀର
↖	ଉପର ବାମ ତୀର
↕️	ଉପର ତୀର
↕	ଉପର ତୀର
↔️	ବାମ-ଡାହାଣ ତୀର
↔	ବାମ-ଡାହାଣ ତୀର
↩️	ଡାହାଣ ତୀର ବକ୍ର ବାମ
↩	ଡାହାଣ ତୀର ବକ୍ର ବାମ
↪️	ବାମ ତୀର ବକ୍ର ଡାହାଣ
↪	ବାମ ତୀର ବକ୍ର ଡାହାଣ
⤴️	ଡାହାଣ ତୀର ବକ୍ର
⤴	ଡାହାଣ ତୀର ବକ୍ର
⤵️	ଡାହାଣ ତୀର ବକ୍ର
⤵	ଡାହାଣ ତୀର ବକ୍ର
🔃	ଘଣ୍ଟା ବୁଲାଇ ଭୂଲମ୍ବ ତୀର |
🔄	ଘଣ୍ଟା ବିପରୀତ ତୀର ବଟନ୍ |
🔙	ପଛ ତୀର
🔚	ଶେଷ ତୀର
🔛	ତୀର ଉପରେ
🔜	SOON ତୀର |
🔝	TOP ତୀର
🛐	ପୂଜା ସ୍ଥାନ
⚛️	ପରମାଣୁ ପ୍ରତୀକ
⚛	ପରମାଣୁ ପ୍ରତୀକ
🕉️	ଓମ୍
🕉	ଓମ୍
✡️	ଦାଉଦଙ୍କର ତାରା
✡	ଦାଉଦଙ୍କର ତାରା
☸️	ଧର୍ମର ଚକ
☸	ଧର୍ମର ଚକ
☯️	ୟିନ ୟାଙ୍ଗ
☯	ୟିନ ୟାଙ୍ଗ
✝️	ଲାଟିନ୍ କ୍ରସ୍ |
✝	ଲାଟିନ୍ କ୍ରସ୍ |
☦️	ଓଡ଼ିଆ କ୍ରସ୍ |
☦	ଓଡ଼ିଆ କ୍ରସ୍ |
☪️	ତାରା ଏବଂ ଚନ୍ଦ୍ର
☪	ତାରା ଏବଂ ଚନ୍ଦ୍ର
☮️	ଶାନ୍ତି ପ୍ରତୀକ
☮	ଶାନ୍ତି ପ୍ରତୀକ
🕎	ମେନୋରା
🔯	ଛଅ-ସୂକ୍ଷ୍ମ ତାରା
♈	ମେଷ
♉	ବୃଷ
♊	ମିଥୁନ
♋	କର୍କଟ
♌	ଲିଓ
♍	କୁମାରୀ
♎	ଲିବ୍ରା |
♏	ବିଛା
♐	ଧନୁ ରାଶି;
♑	ମକର ରାଶି |
♒	କୁମ୍ଭ
♓	ପିସ୍
⛎	ଓଫିଚସ୍ |
🔀	ଟ୍ରାକ ବଟନ୍ ବଦଳାନ୍ତୁ |
🔁	ପୁନରାବୃତ୍ତି ବଟନ୍ |
🔂	ଏକକ ବଟନ୍ ପୁନରାବୃତ୍ତି କରନ୍ତୁ |
▶️	ବଟନ୍ ଚଲାନ୍ତୁ |
▶	ବଟନ୍ ଚଲାନ୍ତୁ |
⏩	ଦ୍ରୁତ ଅଗ୍ରଗାମୀ ବଟନ୍ |
⏭️	ପରବର୍ତ୍ତୀ ଟ୍ରାକ୍ ବଟନ୍ |
⏭	ପରବର୍ତ୍ତୀ ଟ୍ରାକ୍ ବଟନ୍ |
⏯️	ଚଲାନ୍ତୁ କିମ୍ବା ବିରାମ ବଟନ୍ |
⏯	ଚଲାନ୍ତୁ କିମ୍ବା ବିରାମ ବଟନ୍ |
◀️	ଓଲଟା ବଟନ୍ |
◀	ଓଲଟା ବଟନ୍ |
⏪	ଦ୍ରୁତ ଓଲଟା ବଟନ୍ |
⏮️	ଶେଷ ଟ୍ରାକ୍ ବଟନ୍ |
⏮	ଶେଷ ଟ୍ରାକ୍ ବଟନ୍ |
🔼	ଉପର ବଟନ୍ |
⏫	ଫାଷ୍ଟ ଅପ୍ ବଟନ୍ |
🔽	ତଳ ବଟନ୍ |
⏬	ଫାଷ୍ଟ ଡାଉନ୍ ବଟନ୍ |
⏸️	ବିରାମ ବଟନ୍
⏸	ବିରାମ ବଟନ୍
⏹️	ବନ୍ଦ ବଟନ୍ |
⏹	ବନ୍ଦ ବଟନ୍ |
⏺️	ରେକର୍ଡ ବଟନ୍
⏺	ରେକର୍ଡ ବଟନ୍
⏏️	ବହିଷ୍କାର
⏏	ବହିଷ୍କାର
🎦	ସିନେମା
🔅	ଅଳ୍ପ ବଟନ୍
🔆	ଉଜ୍ଜ୍ୱଳ ବଟନ୍ |
📶	ଆଣ୍ଟେନା ବାର୍ |
📳	କମ୍ପନ ମୋଡ୍ |
📴	ମୋବାଇଲ୍ ଫୋନ୍ ବନ୍ଦ |
♀️	ମହିଳା ଚିହ୍ନ
♀	ମହିଳା ଚିହ୍ନ
♂️	ପୁରୁଷ ଚିହ୍ନ
♂	ପୁରୁଷ ଚିହ୍ନ
⚕️	ଡାକ୍ତରୀ ପ୍ରତୀକ |
⚕	ଡାକ୍ତରୀ ପ୍ରତୀକ |
♾️	ଅସୀମତା |
♾	ଅସୀମତା |
♻️	ପୁନ yc ବ୍ୟବହାର ପ୍ରତୀକ |
♻	ପୁନ yc ବ୍ୟବହାର ପ୍ରତୀକ |
⚜️	ଫ୍ଲୁର୍-ଡି-ଲିସ୍ |
⚜	ଫ୍ଲୁର୍-ଡି-ଲିସ୍ |
🔱	ଟ୍ରାଇଡେଣ୍ଟ୍ ପ୍ରତୀକ |
📛	ନାମ ବ୍ୟାଜ୍
🔰	ଆରମ୍ଭ ପାଇଁ ଜାପାନୀ ପ୍ରତୀକ |
⭕	ଭାରୀ ବଡ଼ ବୃତ୍ତ |
✅	ଧଳା ଭାରୀ ଯାଞ୍ଚ ଚିହ୍ନ |
☑️	ଚେକ୍ ସହିତ ବାଲାଟ୍ ବାକ୍ସ |
☑	ଚେକ୍ ସହିତ ବାଲାଟ୍ ବାକ୍ସ |
✔️	ଭାରୀ ଯାଞ୍ଚ ଚିହ୍ନ |
✔	ଭାରୀ ଯାଞ୍ଚ ଚିହ୍ନ |
✖️	ଭାରି ଗୁଣନ x
✖	ଭାରି ଗୁଣନ x
❌	କ୍ରସ୍ ମାର୍କ
❎	କ୍ରସ୍ ମାର୍କ ବଟନ୍ |
➕	ଭାରୀ ପ୍ଲସ୍ ଚିହ୍ନ |
➖	ଭାରୀ ମାଇନସ୍ ଚିହ୍ନ |
➗	ଭାରୀ ବିଭାଜନ ଚିହ୍ନ |
➰	କର୍ଲି ଲୁପ୍ |
➿	ଡବଲ୍ କର୍ଲି ଲୁପ୍ |
〽️	ଅଂଶ ବିକଳ୍ପ ଚିହ୍ନ
〽	ଅଂଶ ବିକଳ୍ପ ଚିହ୍ନ
✳️	ଆଠ-ସ୍ପୋକେଡ୍ ଆଷ୍ଟେରିସ୍କ |
✳	ଆଠ-ସ୍ପୋକେଡ୍ ଆଷ୍ଟେରିସ୍କ |
✴️	ଆଠ-ସୂକ୍ଷ୍ମ ତାରା |
✴	ଆଠ-ସୂକ୍ଷ୍ମ ତାରା |
❇️	ଚମକ
❇	ଚମକ
‼️	ଡବଲ୍ ବିସ୍ମୟ ଚିହ୍ନ |
‼	ଡବଲ୍ ବିସ୍ମୟ ଚିହ୍ନ |
⁉️	ବିସ୍ମୟ ପ୍ରଶ୍ନ ଚିହ୍ନ
⁉	ବିସ୍ମୟ ପ୍ରଶ୍ନ ଚିହ୍ନ
❓	ପ୍ରଶ୍ନବାଚକ ଚିହ୍ନ
❔	ଧଳା ପ୍ରଶ୍ନ ଚିହ୍ନ
❕	ଧଳା ବିସ୍ମୟ ଚିହ୍ନ |
❗	ବିସ୍ମୟ ଚିହ୍ନ
〰️	ତରଙ୍ଗ ଡ୍ୟାସ୍ |
〰	ତରଙ୍ଗ ଡ୍ୟାସ୍ |
©️	କପିରାଇଟ୍
©	କପିରାଇଟ୍
®️	ପଞ୍ଜିକୃତ |
®	ପଞ୍ଜିକୃତ |
™️	ବାଣିଜ୍ୟ ଚିହ୍ନ
™	ବାଣିଜ୍ୟ ଚିହ୍ନ
#️⃣	keycap: #
#⃣	keycap: #
*️⃣	keycap: *
*⃣	keycap: *
0️⃣	keycap: 0
0⃣	keycap: 0
1️⃣	keycap: 1
1⃣	କି-କ୍ୟାପ୍: 1
2️⃣	keycap: 2
2⃣	keycap: 2
3️⃣	keycap: 3
3⃣	keycap: 3
4️⃣	keycap: 4
4⃣	keycap: 4
5️⃣	କି-କ୍ୟାପ୍: 5
5⃣	କି-କ୍ୟାପ୍: 5
6️⃣	keycap: 6
6⃣	keycap: 6
7️⃣	keycap: 7
7⃣	keycap: 7
8️⃣	keycap: 8
8⃣	keycap: 8
9️⃣	keycap: 9
9⃣	keycap: 9
🔟	keycap: 10
💯	ଶହେ ପଏଣ୍ଟ |
🔠	ଲାଟିନ୍ ଅକ୍ଷର
🔡	ଲାଟିନ୍ ଲୋୟର କେସ୍
🔢	ନିବେଶ ସଂଖ୍ୟା
🔣	ଇନପୁଟ୍ ସଙ୍କେତଗୁଡିକ
🔤	ଲାଟିନ୍ ଅକ୍ଷରଗୁଡିକ ଇନପୁଟ୍ କରନ୍ତୁ |
🅰️	ଏକ ବଟନ୍ (ରକ୍ତ ପ୍ରକାର)
🅰	ଏକ ବଟନ୍ (ରକ୍ତ ପ୍ରକାର)
🆎	ଏବି ବଟନ୍ (ରକ୍ତ ପ୍ରକାର)
🅱️	ବି ବଟନ୍ (ରକ୍ତ ପ୍ରକାର)
🅱	ବି ବଟନ୍ (ରକ୍ତ ପ୍ରକାର)
🆑	CL ବଟନ୍ |
🆒	COOL ବଟନ୍ |
🆓	ମାଗଣା ବଟନ୍ |
ℹ️	ସୂଚନା
ℹ	ସୂଚନା
🆔	ID ବଟନ୍
Ⓜ️	ଗୋଲାକାର M।
Ⓜ	ଗୋଲାକାର M।
🆕	ନୂଆ ବଟନ୍ |
🆖	NG ବଟନ୍ |
🅾️	ହେ ବଟନ୍ (ରକ୍ତ ପ୍ରକାର)
🅾	ହେ ବଟନ୍ (ରକ୍ତ ପ୍ରକାର)
🆗	ଓକେ ବଟନ୍ |
🅿️	ପି ବଟନ୍ |
🅿	ପି ବଟନ୍ |
🆘	SOS ବଟନ୍ |
🆙	UP ବଟନ୍ |
🆚	VS ବଟନ୍ |
🈁	ଜାପାନିଜ “ଏଠାରେ” ବଟନ୍ |
🈂️	ଜାପାନିଜ “ସେବା ଚାର୍ଜ” ବଟନ୍ |
🈂	ଜାପାନିଜ “ସେବା ଚାର୍ଜ” ବଟନ୍ |
🈷️	ଜାପାନିଜ “ମାସିକ ପରିମାଣ” ବଟନ୍ |
🈷	ଜାପାନିଜ “ମାସିକ ପରିମାଣ” ବଟନ୍ |
🈶	ଜାପାନିଜ “ମାଗଣା ନୁହେଁ” ବଟନ୍ |
🈯	ଜାପାନିଜ “ସଂରକ୍ଷିତ” ବଟନ୍ |
🉐	ଜାପାନିଜ “ବୁ g ାମଣା” ବଟନ୍ |
🈹	ଜାପାନିଜ “ରିହାତି” ବଟନ୍ |
🈚	ଜାପାନିଜ “ମାଗଣା” ବଟନ୍ |
🈲	ଜାପାନିଜ “ନିଷେଧ” ବଟନ୍ |
🉑	ଜାପାନିଜ “ଗ୍ରହଣୀୟ” ବଟନ୍ |
🈸	ଜାପାନିଜ “ପ୍ରୟୋଗ” ବଟନ୍ |
🈴	ଜାପାନିଜ “ପାସ୍ ଗ୍ରେଡ୍” ବଟନ୍ |
🈳	ଜାପାନିଜ “ଖାଲି” ବଟନ୍ |
㊗️	ଜାପାନିଜ “ଅଭିନନ୍ଦନ” ବଟନ୍ |
㊗	ଜାପାନିଜ “ଅଭିନନ୍ଦନ” ବଟନ୍ |
㊙️	ଜାପାନିଜ “ଗୁପ୍ତ” ବଟନ୍ |
㊙	ଜାପାନିଜ “ଗୁପ୍ତ” ବଟନ୍ |
🈺	ଜାପାନିଜ “ବ୍ୟବସାୟ ପାଇଁ ଖୋଲା” ବଟନ୍ |
🈵	ଜାପାନିଜ “ଖାଲି ନାହିଁ” ବଟନ୍ |
▪️	କଳା ଛୋଟ ବର୍ଗ
▪	କଳା ଛୋଟ ବର୍ଗ
▫️	ଧଳା ଛୋଟ ବର୍ଗ |
▫	ଧଳା ଛୋଟ ବର୍ଗ |
◻️	ଧଳା ମଧ୍ୟମ ବର୍ଗ |
◻	ଧଳା ମଧ୍ୟମ ବର୍ଗ |
◼️	କଳା ମଧ୍ୟମ ବର୍ଗ
◼	କଳା ମଧ୍ୟମ ବର୍ଗ
◽	ଧଳା ମଧ୍ୟମ-ଛୋଟ ବର୍ଗ |
◾	କଳା ମଧ୍ୟମ-ଛୋଟ ବର୍ଗ |
⬛	କଳା ବଡ଼ ବର୍ଗ
⬜	ଧଳା ବଡ଼ ବର୍ଗ |
🔶	ବଡ଼ କମଳା ହୀରା |
🔷	ବଡ଼ ନୀଳ ହୀରା |
🔸	ଛୋଟ କମଳା ହୀରା |
🔹	ଛୋଟ ନୀଳ ହୀରା |
🔺	ଲାଲ୍ ତ୍ରିରଙ୍ଗା ସୂଚିତ କଲା |
🔻	ଲାଲ୍ ତ୍ରିରଙ୍ଗା ସୂଚିତ କଲା |
💠	ଏକ ବିନ୍ଦୁ ସହିତ ହୀରା |
🔘	ରେଡିଓ ବଟନ୍ |
🔲	କଳା ବର୍ଗ ବଟନ୍ |
🔳	ଧଳା ବର୍ଗ ବଟନ୍ |
⚪	ଧଳା ବୃତ୍ତ
⚫	କଳା ବୃତ୍ତ
🔴	ଲାଲ୍ ବୃତ୍ତ |
🔵	ନୀଳ ବୃତ୍ତ
🏁	ଚେକେଡ୍ ପତାକା |
🚩	ତ୍ରିକୋଣୀୟ ପତାକା |
🎌	ପତାକା ଅତିକ୍ରମ କଲା |
🏴	କଳା ପତାକା
🏳️	ଧଳା ପତାକା |
🏳	ଧଳା ପତାକା |
🏳️‍🌈	ଇନ୍ଦ୍ରଧନୁ ପତାକା |
🏳‍🌈	ଇନ୍ଦ୍ରଧନୁ ପତାକା |
🏴‍☠️	ଡକାୟତି ପତାକା
🏴‍☠	ଡକାୟତି ପତାକା
🇦🇨	ଆରୋହଣ ଦ୍ୱୀପ
🇦🇩	ଆଣ୍ଡୋରା |
🇦🇪	ୟୁନାଇଟେଡ୍ ଆରବ ଏମିରେଟେସ୍
🇦🇫	ଆଫଗାନିସ୍ତାନ
🇦🇬	ଆଣ୍ଟିଗୁଆ ଏବଂ ବାରବୁଦା |
🇦🇮	ଆଙ୍ଗୁଇଲା |
🇦🇱	ଆଲବେନିଆ
🇦🇲	ଆର୍ମେନିଆ
🇦🇴	ଅଙ୍ଗୋଲା
🇦🇶	ଆଣ୍ଟାର୍କଟିକା
🇦🇷	ଆର୍ଜେଣ୍ଟିନା
🇦🇸	ଆମେରିକୀୟ ସାମୋଆ |
🇦🇹	ଅଷ୍ଟ୍ରିଆ
🇦🇺	ଅଷ୍ଟ୍ରେଲିଆ
🇦🇼	ଆରୁବା |
🇦🇽	Å ଲ୍ୟାଣ୍ଡ ଦ୍ୱୀପପୁଞ୍ଜ
🇦🇿	ଆଜେରବାଇଜାନ
🇧🇦	ବୋସନିଆ ଏବଂ ହେର୍ଜେଗୋଭିନା |
🇧🇧	ବାରବାଡୋସ୍ |
🇧🇩	ବାଂଲାଦେଶ
🇧🇪	ବେଲଜିୟମ
🇧🇫	ବୁର୍କିନା ଫାସୋ |
🇧🇬	ବୁଲଗେରିଆ
🇧🇭	ବହାରେନ
🇧🇮	ବୁରୁଣ୍ଡି
🇧🇯	ବେନିନ୍ |
🇧🇱	ସେଣ୍ଟ ବର୍ଥଲେମି |
🇧🇲	ବରମୁଣ୍ଡା
🇧🇳	ବ୍ରୁନେଇ |
