😀	የሚስቅ ፊት
🎽	የሩጫ ሸሚዝ
🎿	ስኪዎች
🛷	ስላይድ
🥌	ጠመዝማዛ ድንጋይ
🎯	በቀጥታ መምታት
🎱	ገንዳ 8 ኳስ
🔮	ክሪስታል ኳስ
🧿	nazar amulet
🎮	በኮምፒውተርና መሰል መሳሪያዎች ላይ የሚጫወቱት ጨዋታ
🕹️	ጆይስቲክ
🕹	ጆይስቲክ
🎰	ማስገቢያ ማሽን
🎲	ጨዋታ መሞት
🧩	jigsaw
🧸	ቴዲ ቢር
♠️	የስፓድ ልብስ
♠	የስፓድ ልብስ
♥️	የልብ ልብስ
♥	የልብ ልብስ
♦️	የአልማዝ ልብስ
♦	የአልማዝ ልብስ
♣️	የክለብ ልብስ
♣	የክለብ ልብስ
♟️	የቼዝ ፓውን
♟	የቼዝ ፓውን
🃏	ቀልደኛ
🀄	የማህጆንግ ቀይ ድራጎን
🎴	የአበባ መጫወቻ ካርዶች
🎭	ጥበቦችን ማከናወን
🖼️	የተቀረጸ ምስል
🖼	የተቀረጸ ምስል
🎨	አርቲስት ቤተ-ስዕል
🧵	ክር
🧶	ክር
🔇	ድምጸ-ከል የተደረገ ድምጽ ማጉያ
🔈	የድምጽ ማጉያ ዝቅተኛ ድምጽ
🔉	ተናጋሪ መካከለኛ መጠን
🔊	ድምጽ ማጉያ ከፍተኛ ድምጽ
📢	ድምጽ ማጉያ
📣	ሜጋፎን
📯	የፖስታ ቀንድ
🔔	ደወል
🔕	ደወል በቆርቆሮ
🎼	የሙዚቃ ውጤት
🎵	የሙዚቃ ማስታወሻ
🎶	የሙዚቃ ማስታወሻዎች
🎙️	ስቱዲዮ ማይክሮፎን
🎙	ስቱዲዮ ማይክሮፎን
🎚️	ደረጃ ተንሸራታች
🎚	ደረጃ ተንሸራታች
🎛️	የመቆጣጠሪያ ቁልፎች
🎛	የመቆጣጠሪያ ቁልፎች
🎤	ማይክሮፎን
🎧	የጆሮ ማዳመጫ
📻	ሬዲዮ
🎷	ሳክስፎን
🎸	ጊታር
🎹	የሙዚቃ ቁልፍ ሰሌዳ
🎺	መለከት
🎻	ቫዮሊን
🥁	ከበሮ
📱	ሞባይል
📲	ተንቀሳቃሽ ስልክ ከቀስት ጋር
☎️	ስልክ
☎	ስልክ
📞	የስልክ መቀበያ
📟	ፔጀር
📠	የፋክስ ማሽን
🔋	ባትሪ
🔌	የኤሌክትሪክ መሰኪያ
💻	ላፕቶፕ ኮምፒተር
🖥️	ዴስክቶፕ ኮምፒተር
🖥	ዴስክቶፕ ኮምፒተር
🖨️	አታሚ
🖨	አታሚ
⌨️	የቁልፍ ሰሌዳ
⌨	የቁልፍ ሰሌዳ
🖱️	የኮምፒውተር መዳፊት
🖱	የኮምፒውተር መዳፊት
🖲️	የትራክ ኳስ
🖲	የትራክ ኳስ
💽	የኮምፒተር ዲስክ
💾	ፍሎፒ ዲስክ
💿	ኦፕቲካል ዲስክ
📀	ዲቪዲ
🧮	አባከስ
🎥	የፊልም ካሜራ
🎞️	የፊልም ክፈፎች
🎞	የፊልም ክፈፎች
📽️	የፊልም ፕሮጀክተር
📽	የፊልም ፕሮጀክተር
🎬	ማጨብጨብ ሰሌዳ
📺	ቴሌቪዥን
📷	ካሜራ
📸	ካሜራ ከብልጭታ ጋር
📹	የቪዲዮ ካሜራ
📼	የቪዲዮ ካሴት
🔍	አጉሊ መነጽር ወደ ግራ ያዘነበለ
🔎	አጉሊ መነጽር ወደ ቀኝ ዘንበል
🕯️	ሻማ
🕯	ሻማ
💡	ብርሃን አምፖል
🔦	የእጅ ባትሪ
🏮	ቀይ የወረቀት ፋኖስ
📔	ማስታወሻ ደብተር ከጌጣጌጥ ሽፋን ጋር
📕	የተዘጋ መጽሐፍ
📖	ክፍት መጽሐፍ
📗	አረንጓዴ መጽሐፍ
📘	ሰማያዊ መጽሐፍ
📙	ብርቱካናማ መጽሐፍ
📚	መጻሕፍት
📓	ማስታወሻ ደብተር
📒	መጽሐፍ መዝገብ
📃	ገጽ ከከርብል ጋር
📜	ሸብልል
📄	ገጽ ወደ ላይ ትይዩ
📰	ጋዜጣ
🗞️	ጥቅል ጋዜጣ
🗞	ጥቅል ጋዜጣ
📑	የዕልባት ትሮች
🔖	ዕልባት
🏷️	መለያ
🏷	መለያ
💰	የገንዘብ ቦርሳ
💴	yen የባንክ ኖት
💵	የዶላር ኖት
💶	ዩሮ የባንክ ኖት
💷	ፓውንድ የባንክ ኖት
💸	ገንዘብ በክንፎች
💳	የዱቤ ካርድ
🧾	ደረሰኝ
💹	ገበታ ከ yen ጋር ይጨምራል
💱	የገንዘብ ልውውጥ
💲	ከባድ ዶላር ምልክት
✉️	ኤንቨሎፕ
✉	ኤንቨሎፕ
📧	ኢ-ሜይል
📨	ገቢ ፖስታ
📩	ቀስት ያለው ፖስታ
📤	የውጪ ሳጥን ትሪ
📥	inbox ትሪ
📦	ጥቅል
📫	ባንዲራ የተዘጋበት የፖስታ ሳጥን
📪	የተዘጋ የፖስታ ሳጥን ከ ባንዲራ ጋር
📬	ከፍ ያለ ባንዲራ ያለው የፖስታ ሳጥን ይክፈቱ
📭	የመልእክት ሳጥን ከወረደ ባንዲራ ጋር
📮	የፖስታ ሳጥን
🗳️	የድምጽ መስጫ ሳጥን ከድምጽ መስጫ ጋር
🗳	የድምጽ መስጫ ሳጥን ከድምጽ መስጫ ጋር
✏️	እርሳስ
✏	እርሳስ
✒️	ጥቁር ኒብ
✒	ጥቁር ኒብ
🖋️	ብአር
🖋	ብአር
🖊️	ብዕር
🖊	ብዕር
🖌️	የቀለም ብሩሽ
🖌	የቀለም ብሩሽ
🖍️	ክራዮን
🖍	ክራዮን
📝	ማስታወሻ
💼	ቦርሳ
📁	የፋይል አቃፊ
📂	የፋይል አቃፊን ክፈት
🗂️	የካርድ ኢንዴክስ መከፋፈያዎች
🗂	የካርድ ኢንዴክስ መከፋፈያዎች
📅	የቀን መቁጠሪያ
📆	የመቀደድ የቀን መቁጠሪያ
🗒️	spiral notepad
🗒	spiral notepad
🗓️	ጠመዝማዛ የቀን መቁጠሪያ
🗓	spiral የቀን መቁጠሪያ
📇	የካርድ መረጃ ጠቋሚ
📈	ሰንጠረዥ እየጨመረ
📉	ገበታ እየቀነሰ
📊	የአሞሌ ገበታ
📋	ቅንጥብ ሰሌዳ
📌	ፑሽፒን
📍	ክብ ፑሽፒን
📎	አግራፍ
🖇️	የተገናኙ የወረቀት ክሊፖች
🖇	የተገናኙ የወረቀት ክሊፖች
📏	ቀጥተኛ ገዥ
📐	የሶስት ማዕዘን ገዢ
✂️	መቀሶች
✂	መቀሶች
🗃️	የካርድ ፋይል ሳጥን
🗃	የካርድ ፋይል ሳጥን
🗄️	የሰነድ መደርደሪያ
🗄	የሰነድ መደርደሪያ
🗑️	የቆሻሻ ቅርጫት
🗑	የቆሻሻ ቅርጫት
🔒	ተቆልፏል
🔓	ተከፍቷል።
🔏	በብዕር ተቆልፏል
🔐	በቁልፍ ተቆልፏል
🔑	ቁልፍ
🗝️	የድሮ ቁልፍ
🗝	የድሮ ቁልፍ
🔨	መዶሻ
⛏️	መምረጥ
⛏	መምረጥ
⚒️	መዶሻ እና መምረጥ
⚒	መዶሻ እና መምረጥ
🛠️	መዶሻ እና ቁልፍ
🛠	መዶሻ እና ቁልፍ
🗡️	ጩቤ
🗡	ጩቤ
⚔️	የተሻገሩ ሰይፎች
⚔	የተሻገሩ ሰይፎች
🔫	ሽጉጥ
🏹	ቀስት እና ቀስት
🛡️	ጋሻ
🛡	ጋሻ
🔧	የመፍቻ
🔩	ነት እና መቀርቀሪያ
⚙️	ማርሽ
⚙	ማርሽ
🗜️	መቆንጠጥ
🗜	መቆንጠጥ
⚖️	ሚዛን ሚዛን
⚖	ሚዛን ሚዛን
🔗	አገናኝ
⛓️	ሰንሰለቶች
⛓	ሰንሰለቶች
🧰	የመሳሪያ ሳጥን
🧲	ማግኔት
⚗️	አለምቢክ
⚗	አለምቢክ
🧪	የሙከራ ቱቦ
🧫	የፔትሪ ምግብ
🧬	ዲ.ኤን
🔬	ማይክሮስኮፕ
🔭	ቴሌስኮፕ
📡	የሳተላይት አንቴና
💉	መርፌ
💊	ክኒን
🚪	በር
🛏️	አልጋ
🛏	አልጋ
🛋️	ሶፋ እና መብራት
🛋	ሶፋ እና መብራት
🚽	መጸዳጃ ቤት
🚿	ሻወር
🛁	የመታጠቢያ ገንዳ
🧴	የሎሽን ጠርሙስ
🧷	መርፌ ቁልፍ
🧹	መጥረጊያ
🧺	ቅርጫት
🧻	ጥቅል ወረቀት
🧼	ሳሙና
🧽	ስፖንጅ
🧯	የእሳት ማጥፊያ
🛒	የግዢ ጋሪ
🚬	ሲጋራ
⚰️	የሬሳ ሣጥን
⚰	የሬሳ ሣጥን
⚱️	የቀብር ሥነ ሥርዓት
⚱	የቀብር ሥነ ሥርዓት
🗿	ሞአይ
🏧	የኤቲኤም ምልክት
🚮	ቆሻሻ መጣያ ውስጥ
🚰	የመጠጥ ውሃ
♿	የተሽከርካሪ ወንበር ምልክት
🚹	የወንዶች ክፍል
🚺	የሴቶች ክፍል
🚻	መጸዳጃ ቤት
🚼	የሕፃን ምልክት
🚾	መታጠቢያ ቤት
🛂	የፓስፖርት ቁጥጥር
🛃	ጉምሩክ
🛄	የሻንጣ ጥያቄ
🛅	የግራ ሻንጣ
⚠️	ማስጠንቀቂያ
⚠	ማስጠንቀቂያ
🚸	ልጆች መሻገር
⛔	መግባት የለም
🚫	የተከለከለ
🚳	ምንም ብስክሌት የለም
🚭	ማጨስ ክልክል ነው
🚯	ቆሻሻ መጣያ የለም።
🚱	የማይጠጣ ውሃ
🚷	ምንም እግረኞች
📵	ምንም ሞባይል ስልኮች የሉም
🔞	ከአስራ ስምንት በታች ማንም የለም።
☢️	ራዲዮአክቲቭ
☢	ራዲዮአክቲቭ
☣️	ባዮአዛርድ
☣	ባዮአዛርድ
⬆️	ወደ ላይ ቀስት
⬆	ወደ ላይ ቀስት
↗️	ወደ ቀኝ-ቀኝ ቀስት
↗	ወደ ቀኝ-ቀኝ ቀስት
➡️	የቀኝ ቀስት
➡	የቀኝ ቀስት
↘️	የታች-ቀኝ ቀስት
↘	የታች-ቀኝ ቀስት
⬇️	የታች ቀስት
⬇	የታች ቀስት
↙️	የታች-ግራ ቀስት
↙	የታች-ግራ ቀስት
⬅️	የግራ ቀስት
⬅	የግራ ቀስት
↖️	ወደ ላይ-ግራ ቀስት
↖	ወደ ላይ-ግራ ቀስት
↕️	ወደ ላይ-ታች ቀስት
↕	ወደ ላይ-ታች ቀስት
↔️	ግራ-ቀኝ ቀስት
↔	ግራ-ቀኝ ቀስት
↩️	የቀኝ ቀስት ወደ ግራ መታጠፍ
↩	የቀኝ ቀስት ወደ ግራ መታጠፍ
↪️	የግራ ቀስት ወደ ቀኝ መታጠፍ
↪	የግራ ቀስት ወደ ቀኝ መታጠፍ
⤴️	ወደ ላይ ታጣፊ ቀኝ ቀስት
⤴	ወደ ላይ ታጣፊ ቀኝ ቀስት
⤵️	ወደ ታች ታጣፊ ቀኝ ቀስት
⤵	ወደ ታች ታጣፊ ቀኝ ቀስት
🔃	በሰዓት አቅጣጫ ቀጥ ያሉ ቀስቶች
🔄	በተቃራኒ ሰዓት አቅጣጫ ቀስቶች አዝራር
🔙	የኋላ ቀስት
🔚	የመጨረሻ ቀስት
🔛	ቀስት ላይ
🔜	በቅርቡ ቀስት
🔝	የላይ ቀስት
🛐	የአምልኮ ቦታ
⚛️	አቶም ምልክት
⚛	አቶም ምልክት
🕉️	om
🕉	om
✡️	የዳዊት ኮከብ
✡	የዳዊት ኮከብ
☸️	የዱርማ ጎማ
☸	የዱርማ ጎማ
☯️	ይን ያንግ
☯	ይን ያንግ
✝️	የላቲን መስቀል
✝	የላቲን መስቀል
☦️	የኦርቶዶክስ መስቀል
☦	የኦርቶዶክስ መስቀል
☪️	ኮከብ እና ግማሽ ጨረቃ
☪	ኮከብ እና ግማሽ ጨረቃ
☮️	የሰላም ምልክት
☮	የሰላም ምልክት
🕎	ሜኖራህ
🔯	ባለ ስድስት ጫፍ ኮከብ
♈	አሪየስ
♉	ታውረስ
♊	ጀሚኒ
♋	ካንሰር
♌	ሊዮ
♍	ቪርጎ
♎	ሊብራ
♏	ስኮርፒዮ
♐	ሳጅታሪየስ
♑	ካፕሪኮርን
♒	አኳሪየስ
♓	ፒሰስ
⛎	ኦፊዩቹስ
🔀	ትራኮች በውዝ አዝራር
🔁	ድገም አዝራር
🔂	ነጠላ አዝራርን ድገም
▶️	አጫውት አዝራር
▶	አጫውት አዝራር
⏩	ፈጣን ወደፊት አዝራር
⏭️	ቀጣይ ትራክ አዝራር
⏭	ቀጣይ ትራክ አዝራር
⏯️	አጫውት ወይም ባለበት አቁም አዝራር
⏯	አጫውት ወይም ባለበት አቁም አዝራር
◀️	የተገላቢጦሽ አዝራር
◀	የተገላቢጦሽ አዝራር
⏪	ፈጣን የተገላቢጦሽ አዝራር
⏮️	የመጨረሻው ትራክ አዝራር
⏮	የመጨረሻው ትራክ አዝራር
🔼	ወደ ላይ አዝራር
⏫	ፈጣን አዝራር
🔽	የታች አዝራር
⏬	በፍጥነት ወደታች አዝራር
⏸️	ለአፍታ አቁም አዝራር
⏸	ለአፍታ አቁም አዝራር
⏹️	የማቆሚያ አዝራር
⏹	የማቆሚያ አዝራር
⏺️	የመዝገብ አዝራር
⏺	የመዝገብ አዝራር
⏏️	አስወጣ አዝራር
⏏	አስወጣ አዝራር
🎦	ሲኒማ
🔅	ደብዛዛ አዝራር
🔆	ብሩህ አዝራር
📶	አንቴና አሞሌዎች
📳	የንዝረት ሁነታ
📴	የሞባይል ስልክ ጠፍቷል
♀️	የሴት ምልክት
♀	የሴት ምልክት
♂️	የወንድ ምልክት
♂	የወንድ ምልክት
⚕️	የሕክምና ምልክት
⚕	የሕክምና ምልክት
♾️	ማለቂያ የሌለው
♾	ማለቂያ የሌለው
♻️	እንደገና ጥቅም ላይ ማዋል ምልክት
♻	እንደገና ጥቅም ላይ ማዋል ምልክት
⚜️	fleur-de-lis
⚜	fleur-de-lis
🔱	የሶስትዮሽ ምልክት
📛	ስም ባጅ
🔰	የጃፓን ምልክት ለጀማሪ
⭕	ከባድ ትልቅ ክብ
✅	ነጭ ከባድ ምልክት
☑️	የድምጽ መስጫ ሳጥን ከቼክ ጋር
☑	የድምጽ መስጫ ሳጥን ከቼክ ጋር
✔️	ከባድ ምልክት
✔	ከባድ ምልክት
✖️	ከባድ ማባዛት x
✖	ከባድ ማባዛት x
❌	የመስቀል ምልክት
❎	የመስቀል ምልክት አዝራር
➕	ከባድ የመደመር ምልክት
➖	ከባድ የመቀነስ ምልክት
➗	ከባድ ክፍፍል ምልክት
➰	የተጠማዘዘ ዑደት
➿	ድርብ ጥምዝ loop
〽️	ክፍል ተለዋጭ ምልክት
〽	ክፍል ተለዋጭ ምልክት
✳️	ባለ ስምንት ተናጋሪ ኮከብ ምልክት
✳	ባለ ስምንት ተናጋሪ ኮከብ ምልክት
✴️	ባለ ስምንት ጫፍ ኮከብ
✴	ባለ ስምንት ጫፍ ኮከብ
❇️	ብልጭልጭ
❇	ብልጭልጭ
‼️	ድርብ አጋኖ ምልክት
‼	ድርብ አጋኖ ምልክት
⁉️	ቃለ አጋኖ የጥያቄ ምልክት
⁉	ቃለ አጋኖ የጥያቄ ምልክት
❓	የጥያቄ ምልክት
❔	ነጭ የጥያቄ ምልክት
❕	ነጭ የቃለ አጋኖ ምልክት
❗	አጋኖ ምልክት
〰️	ሞገድ ሰረዝ
〰	ሞገድ ሰረዝ
©️	የቅጂ መብት
©	የቅጂ መብት
®️	ተመዝግቧል
®	ተመዝግቧል
™️	የንግድ ምልክት
™	የንግድ ምልክት
#️⃣	ቁልፍ፡ #
#⃣	ቁልፍ፡ #
*️⃣	ቁልፍ: *
*⃣	ቁልፍ: *
0️⃣	ቁልፍ: 0
0⃣	ቁልፍ: 0
1️⃣	ቁልፍ: 1
1⃣	ቁልፍ: 1
2️⃣	ቁልፍ: 2
2⃣	ቁልፍ: 2
3️⃣	ቁልፍ፡ 3
3⃣	ቁልፍ፡ 3
4️⃣	ቁልፍ: 4
4⃣	ቁልፍ: 4
5️⃣	ቁልፍ: 5
5⃣	ቁልፍ: 5
6️⃣	ቁልፍ: 6
6⃣	ቁልፍ: 6
7️⃣	ቁልፍ: 7
7⃣	ቁልፍ: 7
8️⃣	ቁልፍ፡ 8
8⃣	ቁልፍ፡ 8
9️⃣	ቁልፍ፡ 9
9⃣	ቁልፍ፡ 9
🔟	ቁልፍ: 10
💯	መቶ ነጥብ
🔠	ግቤት ላቲን አቢይ ሆሄ
🔡	ግቤት ላቲን ንዑስ ሆሄ
🔢	የግቤት ቁጥሮች
🔣	የግቤት ምልክቶች
🔤	የላቲን ፊደላትን አስገባ
🅰️	አዝራር (የደም ዓይነት)
🅰	አዝራር (የደም ዓይነት)
🆎	AB አዝራር (የደም ዓይነት)
🅱️	B አዝራር (የደም ዓይነት)
🅱	B አዝራር (የደም ዓይነት)
🆑	CL አዝራር
🆒	አሪፍ አዝራር
🆓	ነፃ አዝራር
ℹ️	መረጃ
ℹ	መረጃ
🆔	የመታወቂያ ቁልፍ
Ⓜ️	ክብ M
Ⓜ	ክብ M
🆕	አዲስ አዝራር
🆖	NG አዝራር
🅾️	ኦ አዝራር (የደም ዓይነት)
🅾	ኦ አዝራር (የደም ዓይነት)
🆗	እሺ አዝራር
🅿️	ፒ አዝራር
🅿	ፒ አዝራር
🆘	የኤስኦኤስ ቁልፍ
🆙	ወደላይ አዝራር
🆚	ቪኤስ ቁልፍ
🈁	የጃፓን "እዚህ" አዝራር
🈂️	የጃፓን "የአገልግሎት ክፍያ" አዝራር
🈂	የጃፓን "የአገልግሎት ክፍያ" አዝራር
🈷️	የጃፓን "ወርሃዊ መጠን" አዝራር
🈷	የጃፓን "ወርሃዊ መጠን" አዝራር
🈶	የጃፓን "ከክፍያ ነጻ አይደለም" አዝራር
🈯	የጃፓን "የተያዘ" አዝራር
🉐	የጃፓን "ድርድር" አዝራር
🈹	የጃፓን "ቅናሽ" አዝራር
🈚	የጃፓን "ከክፍያ ነጻ" አዝራር
🈲	የጃፓን "የተከለከለ" አዝራር
🉑	የጃፓን "ተቀባይነት ያለው" አዝራር
🈸	የጃፓን "መተግበሪያ" አዝራር
🈴	የጃፓን "ማለፊያ ደረጃ" ቁልፍ
🈳	የጃፓን “ክፍት ቦታ” ቁልፍ
㊗️	የጃፓን "እንኳን ደስ አለዎት" አዝራር
㊗	የጃፓን "እንኳን ደስ አለዎት" አዝራር
㊙️	የጃፓን "ሚስጥራዊ" አዝራር
㊙	የጃፓን "ሚስጥራዊ" አዝራር
🈺	የጃፓን "ለንግድ ክፍት" አዝራር
🈵	የጃፓን "ክፍት ቦታ የለም" አዝራር
▪️	ጥቁር ትንሽ ካሬ
▪	ጥቁር ትንሽ ካሬ
▫️	ነጭ ትንሽ ካሬ
▫	ነጭ ትንሽ ካሬ
◻️	ነጭ መካከለኛ ካሬ
◻	ነጭ መካከለኛ ካሬ
◼️	ጥቁር መካከለኛ ካሬ
◼	ጥቁር መካከለኛ ካሬ
◽	ነጭ መካከለኛ-ትንሽ ካሬ
◾	ጥቁር መካከለኛ-ትንሽ ካሬ
⬛	ጥቁር ትልቅ ካሬ
⬜	ነጭ ትልቅ ካሬ
🔶	ትልቅ ብርቱካንማ አልማዝ
🔷	ትልቅ ሰማያዊ አልማዝ
🔸	ትንሽ ብርቱካንማ አልማዝ
🔹	ትንሽ ሰማያዊ አልማዝ
🔺	ቀይ ትሪያንግል ወደ ላይ ጠቁሟል
🔻	ቀይ ትሪያንግል ወደ ታች ተጠቁሟል
💠	አልማዝ ከነጥብ ጋር
🔘	የሬዲዮ አዝራር
🔲	ጥቁር ካሬ አዝራር
🔳	ነጭ ካሬ አዝራር
⚪	ነጭ ክብ
⚫	ጥቁር ክብ
🔴	ቀይ ክብ
🔵	ሰማያዊ ክብ
🏁	ምልክት የተደረገበት ባንዲራ
🚩	ባለሶስት ማዕዘን ባንዲራ
🎌	የተሻገሩ ባንዲራዎች
🏴	ጥቁር ባንዲራ
🏳️	ነጭ ባንዲራ
🏳	ነጭ ባንዲራ
🏳️‍🌈	ቀስተ ደመና ባንዲራ
🏳‍🌈	ቀስተ ደመና ባንዲራ
🏴‍☠️	የባህር ወንበዴ ባንዲራ
🏴‍☠	የባህር ወንበዴ ባንዲራ
🇦🇨	አሴንሽን ደሴት
🇦🇩	አንዶራ
🇦🇪	ዩናይትድ ዓረብ ኤምሬት
🇦🇫	አፍጋኒስታን
🇦🇬	አንቲጓ እና ባርቡዳ
🇦🇮	አንጉላ
🇦🇱	አልባኒያ
🇦🇲	አርሜኒያ
🇦🇴	አንጎላ
🇦🇶	አንታርክቲካ
🇦🇷	አርጀንቲና
🇦🇸	የአሜሪካ ሳሞአ
🇦🇹	ኦስትራ
🇦🇺	አውስትራሊያ
🇦🇼	አሩባ
🇦🇽	የአላንድ ደሴቶች
🇦🇿	አዘርባጃን
🇧🇦	ቦስኒያ እና ሄርዞጎቪና
🇧🇧	ባርባዶስ
🇧🇩	ባንግላድሽ
🇧🇪	ቤልጄም
🇧🇫	ቡርክናፋሶ
🇧🇬	ቡልጋሪያ
🇧🇭	ባሃሬን
🇧🇮	ቡሩንዲ
🇧🇯	ቤኒኒ
🇧🇱	ቅድስት በርተሌሚ
🇧🇲	ቤርሙዳ
🇧🇳	ብሩኔይ
🇧🇴	ቦሊቪያ
🇧🇶	የካሪቢያን ኔዘርላንድስ
🇧🇷	ብራዚል
🇧🇸	ባሐማስ
🇧🇹	በሓቱን
🇧🇻	ቡቬት ደሴት
🇧🇼	ቦትስዋና
🇧🇾	ቤላሩስ
🇧🇿	ቤሊዜ
🇨🇦	ካናዳ
🇨🇨	ኮኮስ (ኬሊንግ) ደሴቶች
🇨🇩	ኮንጎ - ኪንሻሳ
🇨🇫	ሴንትራል አፍሪካ ሪፑቢሊክ
🇨🇬	ኮንጎ - ብራዛቪል
🇨🇭	ስዊዘሪላንድ
🇨🇮	ኮትዲቫር
🇨🇰	ኩክ አይስላንድስ
🇨🇱	ቺሊ
🇨🇲	ካሜሩን
🇨🇳	ቻይና
🇨🇴	ኮሎምቢያ
🇨🇵	ክሊፕቶን ደሴት
🇨🇷	ኮስታሪካ
🇨🇺	ኩባ
🇨🇻	ኬፕ ቬሪዴ
🇨🇼	ኩራካዎ
🇨🇽	የገና ደሴት
🇨🇾	ቆጵሮስ
🇨🇿	ቼክያ
🇩🇪	ጀርመን
🇩🇬	ዲዬጎ ጋርሲያ
🇩🇯	ጅቡቲ
🇩🇰	ዴንማሪክ
🇩🇲	ዶሚኒካ
🇩🇴	ዶሚኒካን ሪፑብሊክ
🇩🇿	አልጄሪያ
🇪🇦	ሴኡታ እና ሜሊላ
🇪🇨	ኢኳዶር
🇪🇪	ኢስቶኒያ
🇪🇬	ግብጽ
🇪🇭	ምዕራባዊ ሳሃራ
🇪🇷	ኤርትሪያ
🇪🇸	ስፔን
🇪🇹	ኢትዮጵያ
🇪🇺	የአውሮፓ ህብረት
🇫🇮	ፊኒላንድ
🇫🇯	ፊጂ
🇫🇰	የፎክላንድ ደሴቶች
🇫🇲	ሚክሮኔዥያ
🇫🇴	የፋሮ ደሴቶች
🇫🇷	ፈረንሳይ
🇬🇦	ጋቦን
🇬🇧	የተባበሩት የንጉሥ ግዛት
🇬🇩	ግሪንዳዳ
🇬🇪	ጆርጂያ
🇬🇫	የፈረንሳይ ጉያና
🇬🇬	ገርንሴይ
🇬🇭	ጋና
🇬🇮	ጊብራልታር
🇬🇱	ግሪንላንድ
🇬🇲	ጋምቢያ
🇬🇳	ጊኒ
🇬🇵	ጓዴሎፕ
🇬🇶	ኢኳቶሪያል ጊኒ
🇬🇷	ግሪክ
🇬🇸	ደቡብ ጆርጂያ እና ደቡብ ሳንድዊች ደሴቶች
🇬🇹	ጓቴማላ
🇬🇺	ጉአሜ
🇬🇼	ጊኒ-ቢሳው
🇬🇾	ጉያና
🇭🇰	ሆንግ ኮንግ SAR ቻይና
🇭🇲	የተሰማ እና የማክዶናልድ ደሴቶች
🇭🇳	ሆንዱራስ
🇭🇷	ክሮሽያ
🇭🇹	ሓይቲ
🇭🇺	ሃንጋሪ
🇮🇨	የካናሪ ደሴቶች
🇮🇩	ኢንዶኔዥያ
🇮🇪	አይርላድ
🇮🇱	እስራኤል
🇮🇲	የሰው ደሴት
🇮🇳	ሕንድ
🇮🇴	የብሪቲሽ ህንድ ውቅያኖስ ግዛት
🇮🇶	ኢራቅ
🇮🇷	ኢራን
🇮🇸	አይስላንድ
🇮🇹	ጣሊያን
🇯🇪	ጀርሲ
🇯🇲	ጃማይካ
🇯🇴	ዮርዳኖስ
🇯🇵	ጃፓን
🇰🇪	ኬንያ
🇰🇬	ክይርጋዝስታን
🇰🇭	ካምቦዲያ
🇰🇮	ኪሪባቲ
🇰🇲	ኮሞሮስ
🇰🇳	ሴንት ኪትስ እና ኔቪስ
🇰🇵	ሰሜናዊ ኮሪያ
🇰🇷	ደቡብ ኮሪያ
🇰🇼	ኵዌት
🇰🇾	ኬይማን አይስላንድ
🇰🇿	ካዛክስታን
🇱🇦	ላኦስ
🇱🇧	ሊባኖስ
🇱🇨	ቅድስት ሉቺያ
🇱🇮	ለይችቴንስቴይን
🇱🇰	ሲሪላንካ
🇱🇷	ላይቤሪያ
🇱🇸	ሌስቶ
🇱🇹	ሊቱአኒያ
🇱🇺	ሉዘምቤርግ
🇱🇻	ላቲቪያ
🇱🇾	ሊቢያ
🇲🇦	ሞሮኮ
🇲🇨	ሞናኮ
🇲🇩	ሞልዶቫ
🇲🇪	ሞንቴኔግሮ
🇲🇫	ቅዱስ ማርቲን
🇲🇬	ማዳጋስካር
🇲🇭	ማርሻል አይስላንድ
🇲🇰	መቄዶኒያ
🇲🇱	ማሊ
🇲🇲	ምያንማር (በርማ)
🇲🇳	ሞንጎሊያ
🇲🇴	ማካዎ SAR ቻይና
