😀	ನಗುವ ಮುಖ
🖇️	ಲಿಂಕ್ ಮಾಡಿದ ಪೇಪರ್ಕ್ಲಿಪ್ಗಳು
🖇	ಲಿಂಕ್ ಮಾಡಿದ ಪೇಪರ್ಕ್ಲಿಪ್ಗಳು
📏	ನೇರ ಆಡಳಿತಗಾರ
📐	ತ್ರಿಕೋನ ಆಡಳಿತಗಾರ
✂️	ಕತ್ತರಿ
✂	ಕತ್ತರಿ
🗃️	ಕಾರ್ಡ್ ಫೈಲ್ ಬಾಕ್ಸ್
🗃	ಕಾರ್ಡ್ ಫೈಲ್ ಬಾಕ್ಸ್
🗄️	ಫೈಲ್ ಕ್ಯಾಬಿನೆಟ್
🗄	ಫೈಲ್ ಕ್ಯಾಬಿನೆಟ್
🗑️	ಕಸದ ಬುಟ್ಟಿ
🗑	ಕಸದ ಬುಟ್ಟಿ
🔒	ಬೀಗ ಹಾಕಲಾಗಿದೆ
🔓	ಅನ್ಲಾಕ್ ಮಾಡಲಾಗಿದೆ
🔏	ಪೆನ್ನಿನಿಂದ ಲಾಕ್ ಮಾಡಲಾಗಿದೆ
🔐	ಕೀಲಿಯೊಂದಿಗೆ ಲಾಕ್ ಮಾಡಲಾಗಿದೆ
🔑	ಕೀ
🗝️	ಹಳೆಯ ಕೀ
🗝	ಹಳೆಯ ಕೀ
🔨	ಸುತ್ತಿಗೆ
⛏️	ಆಯ್ಕೆ
⛏	ಆಯ್ಕೆ
⚒️	ಸುತ್ತಿಗೆ ಮತ್ತು ಆರಿಸಿ
⚒	ಸುತ್ತಿಗೆ ಮತ್ತು ಆರಿಸಿ
🛠️	ಸುತ್ತಿಗೆ ಮತ್ತು ವ್ರೆಂಚ್
🛠	ಸುತ್ತಿಗೆ ಮತ್ತು ವ್ರೆಂಚ್
🗡️	ಬಾಕು
🗡	ಬಾಕು
⚔️	ಅಡ್ಡ ಕತ್ತಿಗಳು
⚔	ಅಡ್ಡ ಕತ್ತಿಗಳು
🔫	ಪಿಸ್ತೂಲು
🏹	ಬಿಲ್ಲು ಬಾಣ
🛡️	ಗುರಾಣಿ
🛡	ಗುರಾಣಿ
🔧	ವ್ರೆಂಚ್
🔩	ಅಡಿಕೆ ಮತ್ತು ಬೋಲ್ಟ್
⚙️	ಗೇರ್
⚙	ಗೇರ್
🗜️	ಕ್ಲಾಂಪ್
🗜	ಕ್ಲಾಂಪ್
⚖️	ಸಮತೋಲನ ಪ್ರಮಾಣ
⚖	ಸಮತೋಲನ ಪ್ರಮಾಣ
🔗	ಲಿಂಕ್
⛓️	ಸರಪಳಿಗಳು
⛓	ಸರಪಳಿಗಳು
🧰	ಉಪಕರಣ ಪೆಟ್ಟಿಗೆ
🧲	ಅಯಸ್ಕಾಂತ
⚗️	ಅಲೆಂಬಿಕ್
⚗	ಅಲೆಂಬಿಕ್
🧪	ಪ್ರನಾಳ
🧫	ಪೆಟ್ರಿ ಭಕ್ಷ್ಯ
🧬	ಡಿಎನ್ಎ
🔬	ಸೂಕ್ಷ್ಮದರ್ಶಕ
🔭	ದೂರದರ್ಶಕ
📡	ಉಪಗ್ರಹ ಆಂಟೆನಾ
💉	ಸಿರಿಂಜ್
💊	ಮಾತ್ರೆ
🚪	ಬಾಗಿಲು
🛏️	ಹಾಸಿಗೆ
🛏	ಹಾಸಿಗೆ
🛋️	ಮಂಚ ಮತ್ತು ದೀಪ
🛋	ಮಂಚ ಮತ್ತು ದೀಪ
🚽	ಶೌಚಾಲಯ
🚿	ಶವರ್
🛁	ಸ್ನಾನದ ತೊಟ್ಟಿ
🧴	ಲೋಷನ್ ಬಾಟಲ್
🧷	ಸುರಕ್ಷತೆ ಪಿನ್
🧹	ಪೊರಕೆ
🧺	ಬುಟ್ಟಿ
🧻	ಕಾಗದದ ರೋಲ್
🧼	ಸಾಬೂನು
🧽	ಸ್ಪಾಂಜ್
🧯	ಅಗ್ನಿಶಾಮಕ
🛒	ಶಾಪಿಂಗ್ ಕಾರ್ಟ್
🚬	ಸಿಗರೇಟ್
⚰️	ಶವಪೆಟ್ಟಿಗೆ
⚰	ಶವಪೆಟ್ಟಿಗೆ
⚱️	ಅಂತ್ಯಕ್ರಿಯೆಯ ಚಿತಾಭಸ್ಮ
⚱	ಅಂತ್ಯಕ್ರಿಯೆಯ ಚಿತಾಭಸ್ಮ
🗿	ಮೋಯಿ
🏧	ATM ಚಿಹ್ನೆ
🚮	ಬಿನ್ ಚಿಹ್ನೆಯಲ್ಲಿ ಕಸ
🚰	ಕುಡಿಯುವ ನೀರು
♿	ಗಾಲಿಕುರ್ಚಿ ಚಿಹ್ನೆ
🚹	ಗಂಡಸರ ಕೋಣೆ
🚺	ಮಹಿಳಾ ಕೊಠಡಿ
🚻	ವಿಶ್ರಾಂತಿ ಕೊಠಡಿ
🚼	ಮಗುವಿನ ಚಿಹ್ನೆ
🚾	ನೀರಿನ ಕ್ಲೋಸೆಟ್
🛂	ಪಾಸ್ಪೋರ್ಟ್ ನಿಯಂತ್ರಣ
🛃	ಪದ್ಧತಿಗಳು
🛄	ಸಾಮಾನು ಹಕ್ಕು
🛅	ಸಾಮಾನು ಬಿಟ್ಟರು
⚠️	ಎಚ್ಚರಿಕೆ
⚠	ಎಚ್ಚರಿಕೆ
🚸	ಮಕ್ಕಳು ದಾಟುತ್ತಾರೆ
⛔	ಪ್ರವೇಶವಿಲ್ಲ
🚫	ನಿಷೇಧಿಸಲಾಗಿದೆ
🚳	ಸೈಕಲ್ ಇಲ್ಲ
🚭	ಧೂಮಪಾನ ಇಲ್ಲ
🚯	ಗಲೀಜು ಮಾಡುವಂತಿಲ್ಲ
🚱	ಕುಡಿಯಲು ಯೋಗ್ಯವಲ್ಲದ ನೀರು
🚷	ಪಾದಚಾರಿಗಳಿಲ್ಲ
📵	ಮೊಬೈಲ್ ಫೋನ್ಗಳಿಲ್ಲ
🔞	ಹದಿನೆಂಟು ವರ್ಷದೊಳಗಿನ ಯಾರೂ ಇಲ್ಲ
☢️	ವಿಕಿರಣಶೀಲ
☢	ವಿಕಿರಣಶೀಲ
☣️	ಜೈವಿಕ ಅಪಾಯ
☣	ಜೈವಿಕ ಅಪಾಯ
⬆️	ಮೇಲಿನ ಬಾಣ
⬆	ಮೇಲಿನ ಬಾಣ
↗️	ಮೇಲಿನ ಬಲ ಬಾಣ
↗	ಮೇಲಿನ ಬಲ ಬಾಣ
➡️	ಬಲ ಬಾಣ
➡	ಬಲ ಬಾಣ
↘️	ಕೆಳಗಿನ ಬಲ ಬಾಣ
↘	ಕೆಳಗಿನ ಬಲ ಬಾಣ
⬇️	ಕೆಳಗೆ ಬಾಣ
⬇	ಕೆಳಗೆ ಬಾಣ
↙️	ಕೆಳಗಿನ ಎಡ ಬಾಣ
↙	ಕೆಳಗಿನ ಎಡ ಬಾಣ
⬅️	ಬಿಟ್ಟ ಬಾಣ
⬅	ಬಿಟ್ಟ ಬಾಣ
↖️	ಮೇಲಿನ-ಎಡ ಬಾಣ
↖	ಮೇಲಿನ-ಎಡ ಬಾಣ
↕️	ಮೇಲಿನ-ಕೆಳಗಿನ ಬಾಣ
↕	ಮೇಲಿನ-ಕೆಳಗಿನ ಬಾಣ
↔️	ಎಡ-ಬಲ ಬಾಣ
↔	ಎಡ-ಬಲ ಬಾಣ
↩️	ಬಲ ಬಾಣ ಎಡಕ್ಕೆ ಬಾಗುತ್ತದೆ
↩	ಬಲ ಬಾಣ ಎಡಕ್ಕೆ ಬಾಗುತ್ತದೆ
↪️	ಎಡ ಬಾಣ ಬಲಕ್ಕೆ ಬಾಗುತ್ತದೆ
↪	ಎಡ ಬಾಣ ಬಲಕ್ಕೆ ಬಾಗುತ್ತದೆ
⤴️	ಬಲ ಬಾಣವು ಮೇಲಕ್ಕೆ ಬಾಗುತ್ತದೆ
⤴	ಬಲ ಬಾಣವು ಮೇಲಕ್ಕೆ ಬಾಗುತ್ತದೆ
⤵️	ಬಲ ಬಾಣವು ಕೆಳಗೆ ಬಾಗುತ್ತದೆ
⤵	ಬಲ ಬಾಣವು ಕೆಳಗೆ ಬಾಗುತ್ತದೆ
🔃	ಪ್ರದಕ್ಷಿಣಾಕಾರವಾಗಿ ಲಂಬ ಬಾಣಗಳು
🔄	ಅಪ್ರದಕ್ಷಿಣಾಕಾರ ಬಾಣಗಳ ಬಟನ್
🔙	ಹಿಂದಿನ ಬಾಣ
🔚	ಅಂತ್ಯ ಬಾಣ
🔛	ಬಾಣದ ಮೇಲೆ
🔜	ಶೀಘ್ರದಲ್ಲೇ ಬಾಣ
🔝	ಟಾಪ್ ಬಾಣ
🛐	ಪೂಜಾ ಸ್ಥಳ
⚛️	ಪರಮಾಣುವಿನ ಚಿಹ್ನೆ
⚛	ಪರಮಾಣುವಿನ ಚಿಹ್ನೆ
🕉️	ಓಂ
🕉	ಓಂ
✡️	ಡೇವಿಡ್ ನಕ್ಷತ್ರ
✡	ಡೇವಿಡ್ ನಕ್ಷತ್ರ
☸️	ಧರ್ಮದ ಚಕ್ರ
☸	ಧರ್ಮದ ಚಕ್ರ
☯️	ಯಿನ್ ಯಾಂಗ್
☯	ಯಿನ್ ಯಾಂಗ್
✝️	ಲ್ಯಾಟಿನ್ ಅಡ್ಡ
✝	ಲ್ಯಾಟಿನ್ ಅಡ್ಡ
☦️	ಸಾಂಪ್ರದಾಯಿಕ ಅಡ್ಡ
☦	ಸಾಂಪ್ರದಾಯಿಕ ಅಡ್ಡ
☪️	ನಕ್ಷತ್ರ ಮತ್ತು ಅರ್ಧಚಂದ್ರಾಕೃತಿ
☪	ನಕ್ಷತ್ರ ಮತ್ತು ಅರ್ಧಚಂದ್ರಾಕೃತಿ
☮️	ಶಾಂತಿ ಸಂಕೇತ
☮	ಶಾಂತಿ ಸಂಕೇತ
🕎	ಮೆನೋರಾ
🔯	ಚುಕ್ಕೆಗಳ ಆರು-ಬಿಂದುಗಳ ನಕ್ಷತ್ರ
♈	ಮೇಷ ರಾಶಿ
♉	ವೃಷಭ ರಾಶಿ
♊	ಮಿಥುನ ರಾಶಿ
♋	ಕ್ಯಾನ್ಸರ್
♌	ಸಿಂಹ
♍	ಕನ್ಯಾರಾಶಿ
♎	ತುಲಾ ರಾಶಿ
♏	ವೃಶ್ಚಿಕ ರಾಶಿ
♐	ಧನು ರಾಶಿ
♑	ಮಕರ ಸಂಕ್ರಾಂತಿ
♒	ಕುಂಭ ರಾಶಿ
♓	ಮೀನ ರಾಶಿ
⛎	ಒಫಿಯುಚಸ್
🔀	ಷಫಲ್ ಟ್ರ್ಯಾಕ್ಗಳ ಬಟನ್
🔁	ಪುನರಾವರ್ತಿತ ಬಟನ್
🔂	ಒಂದೇ ಬಟನ್ ಅನ್ನು ಪುನರಾವರ್ತಿಸಿ
▶️	ಪ್ಲೇ ಬಟನ್
▶	ಪ್ಲೇ ಬಟನ್
⏩	ಫಾಸ್ಟ್-ಫಾರ್ವರ್ಡ್ ಬಟನ್
⏭️	ಮುಂದಿನ ಟ್ರ್ಯಾಕ್ ಬಟನ್
⏭	ಮುಂದಿನ ಟ್ರ್ಯಾಕ್ ಬಟನ್
⏯️	ಪ್ಲೇ ಅಥವಾ ವಿರಾಮ ಬಟನ್
⏯	ಪ್ಲೇ ಅಥವಾ ವಿರಾಮ ಬಟನ್
◀️	ಹಿಮ್ಮುಖ ಬಟನ್
◀	ಹಿಮ್ಮುಖ ಬಟನ್
⏪	ವೇಗದ ಹಿಮ್ಮುಖ ಬಟನ್
⏮️	ಕೊನೆಯ ಟ್ರ್ಯಾಕ್ ಬಟನ್
⏮	ಕೊನೆಯ ಟ್ರ್ಯಾಕ್ ಬಟನ್
🔼	ಮೇಲಕ್ಕೆ ಬಟನ್
⏫	ವೇಗದ ಬಟನ್
🔽	ಕೆಳಮುಖವಾಗಿ ಬಟನ್
⏬	ಫಾಸ್ಟ್ ಡೌನ್ ಬಟನ್
⏸️	ವಿರಾಮ ಬಟನ್
⏸	ವಿರಾಮ ಬಟನ್
⏹️	ನಿಲ್ಲಿಸು ಬಟನ್
⏹	ನಿಲ್ಲಿಸು ಬಟನ್
⏺️	ರೆಕಾರ್ಡ್ ಬಟನ್
⏺	ರೆಕಾರ್ಡ್ ಬಟನ್
⏏️	ಎಜೆಕ್ಟ್ ಬಟನ್
⏏	ಎಜೆಕ್ಟ್ ಬಟನ್
🎦	ಸಿನಿಮಾ
🔅	ಮಂದ ಬಟನ್
🔆	ಪ್ರಕಾಶಮಾನವಾದ ಬಟನ್
📶	ಆಂಟೆನಾ ಬಾರ್ಗಳು
📳	ಕಂಪನ ಮೋಡ್
📴	ಮೊಬೈಲ್ ಫೋನ್ ಆಫ್
♀️	ಸ್ತ್ರೀ ಚಿಹ್ನೆ
♀	ಸ್ತ್ರೀ ಚಿಹ್ನೆ
♂️	ಪುರುಷ ಚಿಹ್ನೆ
♂	ಪುರುಷ ಚಿಹ್ನೆ
⚕️	ವೈದ್ಯಕೀಯ ಚಿಹ್ನೆ
⚕	ವೈದ್ಯಕೀಯ ಚಿಹ್ನೆ
♾️	ಅನಂತ
♾	ಅನಂತ
♻️	ಮರುಬಳಕೆಯ ಚಿಹ್ನೆ
♻	ಮರುಬಳಕೆಯ ಚಿಹ್ನೆ
⚜️	ಫ್ಲ್ಯೂರ್-ಡಿ-ಲಿಸ್
⚜	ಫ್ಲ್ಯೂರ್-ಡಿ-ಲಿಸ್
🔱	ತ್ರಿಶೂಲ ಲಾಂಛನ
📛	ಹೆಸರು ಬ್ಯಾಡ್ಜ್
🔰	ಆರಂಭಿಕರಿಗಾಗಿ ಜಪಾನೀಸ್ ಚಿಹ್ನೆ
⭕	ಭಾರೀ ದೊಡ್ಡ ವೃತ್ತ
✅	ಬಿಳಿ ಭಾರೀ ಚೆಕ್ ಗುರುತು
☑️	ಚೆಕ್ನೊಂದಿಗೆ ಮತಪೆಟ್ಟಿಗೆ
☑	ಚೆಕ್ನೊಂದಿಗೆ ಮತಪೆಟ್ಟಿಗೆ
✔️	ಭಾರೀ ಚೆಕ್ ಗುರುತು
✔	ಭಾರೀ ಚೆಕ್ ಗುರುತು
✖️	ಭಾರೀ ಗುಣಾಕಾರ x
✖	ಭಾರೀ ಗುಣಾಕಾರ x
❌	ಅಡ್ಡ ಗುರುತು
❎	ಅಡ್ಡ ಗುರುತು ಬಟನ್
➕	ಭಾರೀ ಪ್ಲಸ್ ಚಿಹ್ನೆ
➖	ಭಾರೀ ಮೈನಸ್ ಚಿಹ್ನೆ
➗	ಭಾರೀ ವಿಭಜನೆಯ ಚಿಹ್ನೆ
➰	ಕರ್ಲಿ ಲೂಪ್
➿	ಡಬಲ್ ಕರ್ಲಿ ಲೂಪ್
〽️	ಭಾಗ ಪರ್ಯಾಯ ಗುರುತು
〽	ಭಾಗ ಪರ್ಯಾಯ ಗುರುತು
✳️	ಎಂಟು-ಮಾತಿನ ನಕ್ಷತ್ರ ಚಿಹ್ನೆ
✳	ಎಂಟು-ಮಾತಿನ ನಕ್ಷತ್ರ ಚಿಹ್ನೆ
✴️	ಎಂಟು-ಬಿಂದುಗಳ ನಕ್ಷತ್ರ
✴	ಎಂಟು-ಬಿಂದುಗಳ ನಕ್ಷತ್ರ
❇️	ಮಿಂಚು
❇	ಮಿಂಚು
‼️	ಎರಡು ಆಶ್ಚರ್ಯಸೂಚಕ ಚಿಹ್ನೆ
‼	ಎರಡು ಆಶ್ಚರ್ಯಸೂಚಕ ಚಿಹ್ನೆ
⁉️	ಆಶ್ಚರ್ಯಸೂಚಕ ಪ್ರಶ್ನಾರ್ಥಕ ಚಿಹ್ನೆ
⁉	ಆಶ್ಚರ್ಯಸೂಚಕ ಪ್ರಶ್ನಾರ್ಥಕ ಚಿಹ್ನೆ
❓	ಪ್ರಶ್ನಾರ್ಥಕ ಚಿನ್ಹೆ
❔	ಬಿಳಿ ಪ್ರಶ್ನಾರ್ಥಕ ಚಿಹ್ನೆ
❕	ಬಿಳಿ ಆಶ್ಚರ್ಯಸೂಚಕ ಚಿಹ್ನೆ
❗	ಆಶ್ಚರ್ಯ ಸೂಚಕ ಚಿಹ್ನೆ
〰️	ಅಲೆಅಲೆಯಾದ ಡ್ಯಾಶ್
〰	ಅಲೆಅಲೆಯಾದ ಡ್ಯಾಶ್
©️	ಕೃತಿಸ್ವಾಮ್ಯ
©	ಕೃತಿಸ್ವಾಮ್ಯ
®️	ನೋಂದಾಯಿಸಲಾಗಿದೆ
®	ನೋಂದಾಯಿಸಲಾಗಿದೆ
™️	ವ್ಯಾಪಾರ ಗುರುತು
™	ವ್ಯಾಪಾರ ಗುರುತು
#️⃣	ಕೀಕ್ಯಾಪ್: #
#⃣	ಕೀಕ್ಯಾಪ್: #
*️⃣	ಕೀಕ್ಯಾಪ್: *
*⃣	ಕೀಕ್ಯಾಪ್: *
0️⃣	ಕೀಕ್ಯಾಪ್: 0
0⃣	ಕೀಕ್ಯಾಪ್: 0
1️⃣	ಕೀಕ್ಯಾಪ್: 1
1⃣	ಕೀಕ್ಯಾಪ್: 1
2️⃣	ಕೀಕ್ಯಾಪ್: 2
2⃣	ಕೀಕ್ಯಾಪ್: 2
3️⃣	ಕೀಕ್ಯಾಪ್: 3
3⃣	ಕೀಕ್ಯಾಪ್: 3
4️⃣	ಕೀಕ್ಯಾಪ್: 4
4⃣	ಕೀಕ್ಯಾಪ್: 4
5️⃣	ಕೀಕ್ಯಾಪ್: 5
5⃣	ಕೀಕ್ಯಾಪ್: 5
6️⃣	ಕೀಕ್ಯಾಪ್: 6
6⃣	ಕೀಕ್ಯಾಪ್: 6
7️⃣	ಕೀಕ್ಯಾಪ್: 7
7⃣	ಕೀಕ್ಯಾಪ್: 7
8️⃣	ಕೀಕ್ಯಾಪ್: 8
8⃣	ಕೀಕ್ಯಾಪ್: 8
9️⃣	ಕೀಕ್ಯಾಪ್: 9
9⃣	ಕೀಕ್ಯಾಪ್: 9
🔟	ಕೀಕ್ಯಾಪ್: 10
💯	ನೂರು ಅಂಕಗಳು
🔠	ಇನ್ಪುಟ್ ಲ್ಯಾಟಿನ್ ದೊಡ್ಡಕ್ಷರ
🔡	ಇನ್ಪುಟ್ ಲ್ಯಾಟಿನ್ ಲೋವರ್ಕೇಸ್
🔢	ಇನ್ಪುಟ್ ಸಂಖ್ಯೆಗಳು
🔣	ಇನ್ಪುಟ್ ಚಿಹ್ನೆಗಳು
🔤	ಲ್ಯಾಟಿನ್ ಅಕ್ಷರಗಳನ್ನು ಇನ್ಪುಟ್ ಮಾಡಿ
🅰️	ಒಂದು ಬಟನ್ (ರಕ್ತ ಪ್ರಕಾರ)
🅰	ಒಂದು ಬಟನ್ (ರಕ್ತ ಪ್ರಕಾರ)
🆎	ಎಬಿ ಬಟನ್ (ರಕ್ತ ಪ್ರಕಾರ)
🅱️	ಬಿ ಬಟನ್ (ರಕ್ತ ಪ್ರಕಾರ)
🅱	ಬಿ ಬಟನ್ (ರಕ್ತ ಪ್ರಕಾರ)
🆑	CL ಬಟನ್
🆒	ಕೂಲ್ ಬಟನ್
🆓	ಉಚಿತ ಬಟನ್
ℹ️	ಮಾಹಿತಿ
ℹ	ಮಾಹಿತಿ
🆔	ID ಬಟನ್
Ⓜ️	ಸುತ್ತುವರಿದ ಎಂ
Ⓜ	ಸುತ್ತುವರಿದ ಎಂ
🆕	ಹೊಸ ಬಟನ್
🆖	NG ಬಟನ್
🅾️	O ಬಟನ್ (ರಕ್ತ ಪ್ರಕಾರ)
🅾	O ಬಟನ್ (ರಕ್ತ ಪ್ರಕಾರ)
🆗	ಸರಿ ಬಟನ್
🅿️	ಪಿ ಬಟನ್
🅿	ಪಿ ಬಟನ್
🆘	SOS ಬಟನ್
🆙	UP ಬಟನ್
🆚	VS ಬಟನ್
🈁	ಜಪಾನೀಸ್ "ಇಲ್ಲಿ" ಬಟನ್
🈂️	ಜಪಾನೀಸ್ "ಸೇವಾ ಶುಲ್ಕ" ಬಟನ್
🈂	ಜಪಾನೀಸ್ "ಸೇವಾ ಶುಲ್ಕ" ಬಟನ್
🈷️	ಜಪಾನೀಸ್ "ಮಾಸಿಕ ಮೊತ್ತ" ಬಟನ್
🈷	ಜಪಾನೀಸ್ "ಮಾಸಿಕ ಮೊತ್ತ" ಬಟನ್
🈶	ಜಪಾನೀಸ್ "ಉಚಿತವಲ್ಲ" ಬಟನ್
🈯	ಜಪಾನೀಸ್ "ಮೀಸಲು" ಬಟನ್
🉐	ಜಪಾನೀಸ್ "ಚೌಕಾಶಿ" ಬಟನ್
🈹	ಜಪಾನೀಸ್ "ರಿಯಾಯಿತಿ" ಬಟನ್
🈚	ಜಪಾನೀಸ್ "ಉಚಿತ" ಬಟನ್
🈲	ಜಪಾನೀಸ್ "ನಿಷೇಧಿತ" ಬಟನ್
🉑	ಜಪಾನೀಸ್ "ಸ್ವೀಕಾರಾರ್ಹ" ಬಟನ್
🈸	ಜಪಾನೀಸ್ "ಅಪ್ಲಿಕೇಶನ್" ಬಟನ್
🈴	ಜಪಾನೀಸ್ "ಪಾಸಿಂಗ್ ಗ್ರೇಡ್" ಬಟನ್
🈳	ಜಪಾನೀಸ್ "ಖಾಲಿ" ಬಟನ್
㊗️	ಜಪಾನೀಸ್ "ಅಭಿನಂದನೆಗಳು" ಬಟನ್
㊗	ಜಪಾನೀಸ್ "ಅಭಿನಂದನೆಗಳು" ಬಟನ್
㊙️	ಜಪಾನೀಸ್ "ರಹಸ್ಯ" ಬಟನ್
㊙	ಜಪಾನೀಸ್ "ರಹಸ್ಯ" ಬಟನ್
🈺	ಜಪಾನೀಸ್ "ವ್ಯವಹಾರಕ್ಕಾಗಿ ತೆರೆಯಿರಿ" ಬಟನ್
🈵	ಜಪಾನೀಸ್ "ಖಾಲಿ ಇಲ್ಲ" ಬಟನ್
▪️	ಕಪ್ಪು ಸಣ್ಣ ಚೌಕ
▪	ಕಪ್ಪು ಸಣ್ಣ ಚೌಕ
▫️	ಬಿಳಿ ಸಣ್ಣ ಚೌಕ
▫	ಬಿಳಿ ಸಣ್ಣ ಚೌಕ
◻️	ಬಿಳಿ ಮಧ್ಯಮ ಚೌಕ
◻	ಬಿಳಿ ಮಧ್ಯಮ ಚೌಕ
◼️	ಕಪ್ಪು ಮಧ್ಯಮ ಚೌಕ
◼	ಕಪ್ಪು ಮಧ್ಯಮ ಚೌಕ
◽	ಬಿಳಿ ಮಧ್ಯಮ-ಸಣ್ಣ ಚೌಕ
◾	ಕಪ್ಪು ಮಧ್ಯಮ-ಸಣ್ಣ ಚೌಕ
⬛	ಕಪ್ಪು ದೊಡ್ಡ ಚೌಕ
⬜	ಬಿಳಿ ದೊಡ್ಡ ಚೌಕ
🔶	ದೊಡ್ಡ ಕಿತ್ತಳೆ ವಜ್ರ
🔷	ದೊಡ್ಡ ನೀಲಿ ವಜ್ರ
🔸	ಸಣ್ಣ ಕಿತ್ತಳೆ ವಜ್ರ
🔹	ಸಣ್ಣ ನೀಲಿ ವಜ್ರ
🔺	ಕೆಂಪು ತ್ರಿಕೋನವನ್ನು ತೋರಿಸಲಾಗಿದೆ
🔻	ಕೆಂಪು ತ್ರಿಕೋನವನ್ನು ಕೆಳಗೆ ತೋರಿಸಲಾಗಿದೆ
💠	ಚುಕ್ಕೆಯೊಂದಿಗೆ ವಜ್ರ
🔘	ರೇಡಿಯೋ ಬಟನ್
🔲	ಕಪ್ಪು ಚೌಕದ ಬಟನ್
🔳	ಬಿಳಿ ಚೌಕದ ಬಟನ್
⚪	ಬಿಳಿ ವೃತ್ತ
⚫	ಕಪ್ಪು ವೃತ್ತ
🔴	ಕೆಂಪು ವೃತ್ತ
🔵	ನೀಲಿ ವೃತ್ತ
🏁	ಚೆಕ್ಕರ್ ಧ್ವಜ
🚩	ತ್ರಿಕೋನ ಧ್ವಜ
🎌	ದಾಟಿದ ಧ್ವಜಗಳು
🏴	ಕಪ್ಪು ಬಾವುಟ
🏳️	ಬಿಳಿ ಧ್ವಜ
🏳	ಬಿಳಿ ಧ್ವಜ
🏳️‍🌈	ಕಾಮನಬಿಲ್ಲು ಧ್ವಜ
🏳‍🌈	ಕಾಮನಬಿಲ್ಲು ಧ್ವಜ
🏴‍☠️	ಕಡಲುಗಳ್ಳರ ಧ್ವಜ
🏴‍☠	ಕಡಲುಗಳ್ಳರ ಧ್ವಜ
🇦🇨	ಅಸೆನ್ಶನ್ ದ್ವೀಪ
🇦🇩	ಅಂಡೋರಾ
🇦🇪	ಸಂಯುಕ್ತ ಅರಬ್ ಸಂಸ್ಥಾಪನೆಗಳು
🇦🇫	ಅಫ್ಘಾನಿಸ್ತಾನ
🇦🇬	ಆಂಟಿಗುವಾ ಮತ್ತು ಬಾರ್ಬುಡಾ
🇦🇮	ಅಂಗುಯಿಲಾ
🇦🇱	ಅಲ್ಬೇನಿಯಾ
🇦🇲	ಅರ್ಮೇನಿಯಾ
🇦🇴	ಅಂಗೋಲಾ
🇦🇶	ಅಂಟಾರ್ಟಿಕಾ
🇦🇷	ಅರ್ಜೆಂಟೀನಾ
🇦🇸	ಅಮೆರಿಕನ್ ಸಮೋವಾ
🇦🇹	ಆಸ್ಟ್ರಿಯಾ
🇦🇺	ಆಸ್ಟ್ರೇಲಿಯಾ
🇦🇼	ಅರುಬಾ
🇦🇽	ಆಲ್ಯಾಂಡ್ ದ್ವೀಪಗಳು
🇦🇿	ಅಜೆರ್ಬೈಜಾನ್
🇧🇦	ಬೋಸ್ನಿಯಾ ಮತ್ತು ಹರ್ಜೆಗೋವಿನಾ
🇧🇧	ಬಾರ್ಬಡೋಸ್
🇧🇩	ಬಾಂಗ್ಲಾದೇಶ
🇧🇪	ಬೆಲ್ಜಿಯಂ
🇧🇫	ಬುರ್ಕಿನಾ ಫಾಸೊ
🇧🇬	ಬಲ್ಗೇರಿಯಾ
🇧🇭	ಬಹ್ರೇನ್
🇧🇮	ಬುರುಂಡಿ
🇧🇯	ಬೆನಿನ್
🇧🇱	ಸೇಂಟ್ ಬಾರ್ಥಲೆಮಿ
🇧🇲	ಬರ್ಮುಡಾ
🇧🇳	ಬ್ರೂನಿ
🇧🇴	ಬೊಲಿವಿಯಾ
🇧🇶	ಕೆರಿಬಿಯನ್ ನೆದರ್ಲ್ಯಾಂಡ್ಸ್
🇧🇷	ಬ್ರೆಜಿಲ್
🇧🇸	ಬಹಾಮಾಸ್
🇧🇹	ಭೂತಾನ್
🇧🇻	ಬೌವೆಟ್ ದ್ವೀಪ
🇧🇼	ಬೋಟ್ಸ್ವಾನ
🇧🇾	ಬೆಲಾರಸ್
🇧🇿	ಬೆಲೀಜ್
🇨🇦	ಕೆನಡಾ
🇨🇨	ಕೊಕೊಸ್ (ಕೀಲಿಂಗ್) ದ್ವೀಪಗಳು
🇨🇩	ಕಾಂಗೋ - ಕಿನ್ಶಾಸಾ
🇨🇫	ಮಧ್ಯ ಆಫ್ರಿಕಾದ ಗಣರಾಜ್ಯ
🇨🇬	ಕಾಂಗೋ - ಬ್ರಜಾವಿಲ್ಲೆ
🇨🇭	ಸ್ವಿಟ್ಜರ್ಲೆಂಡ್
🇨🇮	ಕೋಟ್ ಡಿ ಐವರಿ
🇨🇰	ಕುಕ್ ದ್ವೀಪಗಳು
🇨🇱	ಚಿಲಿ
🇨🇲	ಕ್ಯಾಮರೂನ್
🇨🇳	ಚೀನಾ
🇨🇴	ಕೊಲಂಬಿಯಾ
🇨🇵	ಕ್ಲಿಪ್ಪರ್ಟನ್ ದ್ವೀಪ
🇨🇷	ಕೋಸ್ಟ ರಿಕಾ
🇨🇺	ಕ್ಯೂಬಾ
🇨🇻	ಕೇಪ್ ವರ್ಡೆ
🇨🇼	ಕುರಾಕೋ
🇨🇽	ಕ್ರಿಸ್ಮಸ್ ದ್ವೀಪ
🇨🇾	ಸೈಪ್ರಸ್
