😀	ухилено лице
🇨🇨	Кокосови (Кийлинг) острови
🇨🇩	Конго - Киншаса
🇨🇫	Централноафриканска република
🇨🇬	Конго - Бразавил
🇨🇭	Швейцария
🇨🇮	Кот д’Ивоар
🇨🇰	Острови Кук
🇨🇱	Чили
🇨🇲	Камерун
🇨🇳	Китай
🇨🇴	Колумбия
🇨🇵	Остров Клипертън
🇨🇷	Коста Рика
🇨🇺	Куба
🇨🇻	Кабо Верде
🇨🇼	Кюрасао
🇨🇽	остров Коледа
🇨🇾	Кипър
🇨🇿	Чехия
🇩🇪	Германия
🇩🇬	Диего Гарсия
🇩🇯	Джибути
🇩🇰	Дания
🇩🇲	Доминика
🇩🇴	Доминиканска република
🇩🇿	Алжир
🇪🇦	Сеута и Мелила
🇪🇨	Еквадор
🇪🇪	Естония
🇪🇬	Египет
🇪🇭	западна Сахара
🇪🇷	Еритрея
🇪🇸	Испания
🇪🇹	Етиопия
🇪🇺	Европейски съюз
🇫🇮	Финландия
🇫🇯	Фиджи
🇫🇰	Фолкландски острови
🇫🇲	Микронезия
🇫🇴	Фарьорските острови
🇫🇷	Франция
🇬🇦	Габон
🇬🇧	Великобритания
🇬🇩	Гренада
🇬🇪	Грузия
🇬🇫	Френска Гвиана
🇬🇬	Гърнси
🇬🇭	Гана
🇬🇮	Гибралтар
🇬🇱	Гренландия
🇬🇲	Гамбия
🇬🇳	Гвинея
🇬🇵	Гваделупа
🇬🇶	Екваториална Гвинея
🇬🇷	Гърция
🇬🇸	Южна Джорджия и Южни Сандвичеви острови
🇬🇹	Гватемала
🇬🇺	Гуам
🇬🇼	Гвинея-Бисау
🇬🇾	Гвиана
🇭🇰	Хонг Конг, САР Китай
🇭🇲	Острови Хърд и Макдоналд
🇭🇳	Хондурас
🇭🇷	Хърватия
🇭🇹	Хаити
🇭🇺	Унгария
🇮🇨	Канарски острови
🇮🇩	Индонезия
🇮🇪	Ирландия
🇮🇱	Израел
🇮🇲	остров Ман
🇮🇳	Индия
🇮🇴	Британска територия в Индийския океан
🇮🇶	Ирак
🇮🇷	Иран
🇮🇸	Исландия
🇮🇹	Италия
🇯🇪	Джърси
🇯🇲	Ямайка
🇯🇴	Джордан
🇯🇵	Япония
🇰🇪	Кения
🇰🇬	Киргизстан
🇰🇭	Камбоджа
🇰🇮	Кирибати
🇰🇲	Коморски острови
🇰🇳	Сейнт Китс и Невис
🇰🇵	Северна Корея
🇰🇷	Южна Кореа
🇰🇼	Кувейт
🇰🇾	Кайманови острови
🇰🇿	Казахстан
🇱🇦	Лаос
🇱🇧	Ливан
🇱🇨	Сейнт Лусия
🇱🇮	Лихтенщайн
🇱🇰	Шри Ланка
🇱🇷	Либерия
🇱🇸	Лесото
🇱🇹	Литва
🇱🇺	Люксембург
🇱🇻	Латвия
🇱🇾	Либия
🇲🇦	Мароко
🇲🇨	Монако
🇲🇩	Молдова
🇲🇪	Черна гора
🇲🇫	Свети Мартин
🇲🇬	Мадагаскар
🇲🇭	Маршалови острови
🇲🇰	Македония
🇲🇱	Мали
🇲🇲	Мианмар (Бирма)
🇲🇳	Монголия
🇲🇴	Макао, САР Китай
🇲🇵	Северни Мариански острови
🇲🇶	Мартиника
🇲🇷	Мавритания
🇲🇸	Монсерат
🇲🇹	Малта
🇲🇺	Мавриций
🇲🇻	Малдивите
🇲🇼	Малави
🇲🇽	Мексико
🇲🇾	Малайзия
🇲🇿	Мозамбик
🇳🇦	Намибия
🇳🇨	Нова Каледония
🇳🇪	Нигер
🇳🇫	Остров Норфолк
🇳🇬	Нигерия
🇳🇮	Никарагуа
🇳🇱	Холандия
🇳🇴	Норвегия
🇳🇵	Непал
🇳🇷	Науру
🇳🇺	Ниуе
🇳🇿	Нова Зеландия
🇴🇲	Оман
🇵🇦	Панама
🇵🇪	Перу
🇵🇫	Френска полинезия
🇵🇬	Папуа-Нова Гвинея
🇵🇭	Филипините
🇵🇰	Пакистан
🇵🇱	Полша
🇵🇲	Сен Пиер и Микелон
🇵🇳	Острови Питкерн
🇵🇷	Пуерто Рико
🇵🇸	палестински територии
🇵🇹	Португалия
🇵🇼	Палау
🇵🇾	Парагвай
🇶🇦	Катар
🇷🇪	Реюнион
🇷🇴	Румъния
🇷🇸	Сърбия
🇷🇺	Русия
🇷🇼	Руанда
🇸🇦	Саудитска Арабия
🇸🇧	Соломоновите острови
🇸🇨	Сейшели
🇸🇩	Судан
🇸🇪	Швеция
🇸🇬	Сингапур
🇸🇭	Света Елена
🇸🇮	Словения
🇸🇯	Свалбард и Ян Майен
🇸🇰	Словакия
🇸🇱	Сиера Леоне
🇸🇲	Сан Марино
🇸🇳	Сенегал
🇸🇴	Сомалия
🇸🇷	Суринам
🇸🇸	Южен Судан
🇸🇹	Сао Томе и Принсипи
🇸🇻	Ел Салвадор
🇸🇽	Синт Мартен
🇸🇾	Сирия
🇸🇿	Свазиленд
🇹🇦	Тристан да Куня
🇹🇨	Острови Търкс и Кайкос
🇹🇩	Чад
🇹🇫	Френски южни територии
🇹🇬	Да отида
🇹🇭	Тайланд
🇹🇯	Таджикистан
🇹🇰	Токелау
